Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
38	"								
39	la								
40	consecuencia								
41	de								
42	las								
43	sanciones								
44	bilaterales								
45	que								
46	se								
47	impusieron								
48	a								
49	Austria	nsp							
50	"	nsp							
51	.								
									
1	Yo								
2	prefiero								
3	vivir			1	VPC				
4	del			1		SEL			
5	presente								
6	y								
7	mirar			2	ID				
8	al			2					
9	futuro	nsp		2					
10	.								
									
1	En								
2	los								
3	regímenes								
4	autocráticos	nsp							
5	,								
6	son								
7	los								
8	pueblos								
9	los								
10	que								
11	sufren								
12	los								
13	destinos								
14	que								
15	les								
16	imponen								
17	sus								
18	dirigentes	nsp							
19	,								
20	y								
21	salvo								
22	raras								
23	excepciones	nsp							
24	,								
25	los								
26	dictadores								
27	son								
28	inmunes								
29	a								
30	los								
31	castigos								
32	de								
33	la								
34	comunidad								
35	internacional	nsp							
36	.								
									
1	Ha								
2	muerto	nsp							
3	,								
4	quizá	nsp							
5	,								
6	el								
7	último								
8	símbolo								
9	de								
10	la								
11	dignidad								
12	monárquica								
13	del								
14	Reino	nsp							
15	Unido	nsp							
16	.								
									
1	Al	nsp	A						
2	cabo	nsp	A						
3	de		A						
4	12								
5	años	nsp							
6	,								
7	si			1	SENT				
8	no			1					
9	habla			1					
10	las								
11	lenguas								
12	de								
13	la								
14	sociedad								
15	en								
16	donde								
17	vive								
18	es			1					
19	porque			1					
20	no			1					
21	quiere	nsp		1					
22	.								
									
1	El								
2	granizo								
3	acompañó			1	VPC				
4	a			1		SEL			
5	la								
6	lluvia								
7	en								
8	las								
9	comarcas								
10	del								
11	interior	nsp							
12	.								
									
1	El								
2	Raúl								
3	más								
4	ambicioso								
5	e								
6	inspirado								
7	destrozó								
8	las								
9	ilusiones								
10	del								
11	Barcelona								
12	de								
13	dar			1	ID				
14	la			1					
15	vuelta			1					
16	al			1					
17	resultado								
18	del								
19	Camp	nsp							
20	Nou	nsp							
21	.								
									
1	-								
2	-								
3	Nada		A						
4	de		A						
5	cabezadas	nsp							
6	.								
		nsp							
1	"								
2	Teníamos								
3	huertos								
4	y								
5	este								
6	paseo								
7	parecía								
8	el								
9	Amazonas	nsp							
10	"	nsp							
11	.								
									
1	Ofrecieron								
2	36000								
3	millones								
4	de								
5	pesetas	nsp							
6	(								
7	216,3								
8	millones								
9	de								
10	euros	nsp							
11	)	nsp							
12	.								
									
1	Tras								
2	el								
3	fallo								
4	judicial	nsp							
5	,								
6	Duhalde								
7	y								
8	Lenicov								
9	celebraron								
10	una								
11	reunión								
12	a	nsp	A						
13	puerta	nsp	A						
14	cerrada		A						
15	en								
16	la								
17	residencia								
18	presidencial								
19	de								
20	Los	nsp							
21	Olivos	nsp							
22	.								
									
1	La								
2	revista								
3	económica								
4	Carta	nsp							
5	Capital								
6	divulga								
7	un								
8	informe								
9	de								
10	la								
11	firma								
12	Lafis								
13	que								
14	vaticina								
15	para								
16	1999								
17	una								
18	inflación								
19	del								
20	0,5	nsp							
21	(								
22	en								
23	1998								
24	fue								
25	del								
26	249	nsp							
27	)	nsp							
28	,								
29	una								
30	tasa		A						
31	de		A						
32	cambio		A						
33	de								
34	2,34								
35	reales								
36	por								
37	dólar	nsp							
38	(								
39	hasta								
40	el								
41	comienzo								
42	de								
43	la								
44	devaluación								
45	era								
46	de								
47	1,23	nsp							
48	)								
49	y								
50	serias								
51	amenazas								
52	para								
53	la								
54	estabilidad								
55	del								
56	Mercosur	nsp							
57	.								
									
1	Otros								
2	también								
3	bebían	nsp							
4	,								
5	pero								
6	para								
7	aturdirse	nsp							
8	,								
9	para								
10	olvidar								
11	su								
12	mala								
13	suerte	nsp							
14	:								
15	-								
16	En								
17	el								
18	acuerdo								
19	se								
20	incluyen								
21	a								
22	430								
23	compañeros	nsp							
24	,								
25	pero								
26	quedamos								
27	otros								
28	50								
29	a								
30	los								
31	que								
32	no								
33	nos								
34	dan								
35	dinero	nsp							
36	,								
37	ni								
38	ropa								
39	civil	nsp							
40	,								
41	ni								
42	nada	nsp							
43	...								
44	a			1	SENT				
45	ver			1					
46	qué			1					
47	hago			1					
48	yo			1					
49	ahora			1					
50	si								
51	no								
52	tengo								
53	ni								
54	un								
55	centavo								
56	-	nsp							
57	.								
									
1	En								
2	ella								
3	figuraban	nsp							
4	,								
5	por								
6	primera								
7	vez								
8	después								
9	de								
10	tres								
11	meses								
12	de								
13	ausencia								
14	por								
15	lesión	nsp							
16	,								
17	Carles	nsp							
18	Puyol								
19	e								
20	de	nsp							
21	la	nsp							
22	Peña	nsp							
23	.								
									
1	El								
2	ministro								
3	del								
4	Interior	nsp							
5	,								
6	Jean-Pierre	nsp							
7	Chevènement	nsp							
8	,								
9	quien								
10	expresó								
11	públicamente								
12	su								
13	profundo								
14	desacuerdo								
15	con								
16	el								
17	plan								
18	del								
19	Gobierno								
20	antes								
21	de								
22	su								
23	presentación								
24	a								
25	los								
26	representantes								
27	corsos	nsp							
28	,								
29	incluidos								
30	los								
31	nacionalistas	nsp							
32	,								
33	ha			1	ID				
34	hecho			1					
35	saber			1					
36	que								
37	no								
38	defenderá								
39	el								
40	proyecto								
41	ante								
42	el								
43	Parlamento	nsp							
44	.								
									
1	Goles	nsp							
2	:								
3	0-1	nsp							
4	,								
5	m.24	nsp							
6	,								
7	Pereyra								
8	cabecea								
9	en								
10	el								
11	área								
12	universitaria	nsp							
13	,								
14	el								
15	balón								
16	rebota								
17	en								
18	el								
19	pecho								
20	de								
21	Olarra								
22	y								
23	se								
24	va			1	LVC				
25	adentro	nsp		1					
26	;								
27	42370	nsp							
28	,								
29	m.36	nsp							
30	,								
31	Pedro	nsp							
32	González	nsp							
33	,								
34	de								
35	penalti	nsp							
36	,								
37	tras								
38	falta								
39	de								
40	Sarabia								
41	sobre								
42	Arancibia	nsp							
43	.								
									
1	En								
2	su								
3	reunión								
4	con								
5	senadores	nsp							
6	,								
7	Madrazo								
8	ofreció			1	LVC				
9	explicaciones			1					
10	sobre								
11	el								
12	operativo								
13	y								
14	el								
15	apoyo								
16	que								
17	recibió								
18	por	nsp	A						
19	parte	nsp	A						
20	de		A						
21	los								
22	ministerios								
23	de								
24	Gobernación								
25	y								
26	Defensa	nsp							
27	,								
28	además								
29	informó								
30	que								
31	durante								
32	la								
33	operación								
34	se								
35	cumplieron								
36	los								
37	acuerdos								
38	bilaterales								
39	y								
40	convenios								
41	internacionales								
42	en	nsp	A						
43	materia	nsp	A						
44	de		A						
45	combate								
46	al								
47	narcotráfico	nsp							
48	.								
									
1	El								
2	partido								
3	que								
4	con								
5	pulso								
6	cada								
7	vez								
8	menos								
9	firme								
10	dirige								
11	Xabier	nsp							
12	Arzalluz								
13	ha								
14	dialogado			1	VPC				
15	con			1		SEL			
16	Herri	nsp							
17	Batasuna	nsp							
18	(								
19	HB	nsp							
20	)								
21	desde								
22	la								
23	noche								
24	de								
25	los								
26	tiempos								
27	democráticos	nsp							
28	,								
29	sin								
30	que								
31	ello								
32	fuera			2	LVC				
33	un			2					
34	obstáculo			2					
35	para								
36	que	nsp							
37	,								
38	en								
39	1996	nsp							
40	,								
41	Aznar								
42	suscribiera								
43	con								
44	él								
45	un								
46	acuerdo								
47	de								
48	gobernabilidad								
49	que								
50	acabó			3	VPC				
51	resultando			3					
52	muy								
53	fructífero								
54	para								
55	las								
56	arcas								
57	de								
58	Euskadi	nsp							
59	.								
									
1	Bajo								
2	la								
3	sombra								
4	de								
5	unas								
6	musasas	nsp							
7	,								
8	árboles								
9	típicos								
10	de								
11	esta								
12	región								
13	y								
14	que								
15	sólo								
16	crecen			1	VPC				
17	en			1		SEL			
18	terrenos								
19	muy								
20	fértiles	nsp							
21	,								
22	un								
23	grupo								
24	de								
25	veteranos								
26	ha								
27	instalado								
28	otro								
29	campamento	nsp							
30	.								
							
1	"								
2	Realizó								
3	funciones								
4	de								
5	acompañante								
6	de								
7	honor								
8	del								
9	equipo								
10	nacional								
11	olímpico								
12	de								
13	Australia								
14	durante								
15	los								
16	Juegos	nsp							
17	de	nsp							
18	Barcelona	nsp							
19	,								
20	lo								
21	que								
22	no								
23	tiene			1	ID				
24	nada								
25	que			1					
26	ver			1					
27	con			1					
28	la								
29	candidatura	nsp							
30	"	nsp							
31	,								
32	asegura								
33	el								
34	documento	nsp							
35	.								
									
1	Tenías								
2	los								
3	lujos								
4	de								
5	los								
6	intocables	nsp							
7	,								
8	pero								
9	conservabas								
10	la								
11	sencillez								
12	pueblerina								
13	y								
14	cosmopolita								
15	de								
16	tu								
17	talento	nsp							
18	.								
									
1	Sin	nsp	A						
2	duda	nsp	A						
3	,								
4	el								
5	movimiento								
6	del								
7	nuevo								
8	monarca								
9	que								
10	ha								
11	suscitado								
12	más								
13	comentarios								
14	ha								
15	sido								
16	la								
17	desactivación								
18	del								
19	sistema								
20	Basri	nsp							
21	.								
									
1	Cuando								
2	el								
3	vasco								
4	se								
5	hizo	nsp		1	ID				
6	cargo			1					
7	del			1					
8	Deportivo	nsp							
9	,								
10	heredó								
11	un								
12	conjunto								
13	con								
14	problemas								
15	de								
16	disciplina								
17	y								
18	una								
19	plantilla								
20	desequilibrada								
21	que								
22	evidenció								
23	en								
24	el								
25	primer								
26	tercio								
27	de								
28	la								
29	Liga								
30	unos								
31	altibajos								
32	sorprendentes	nsp							
33	.								
							
1	"								
2	A								
3	mí								
4	no								
5	me								
6	afecta								
7	en	nsp							
8	absoluto	nsp							
9	.								
10	Sólo								
11	me								
12	molestan								
13	los								
14	focos	nsp							
15	,								
16	porque								
17	estoy								
18	operado								
19	de								
20	cataratas	nsp							
21	"	nsp							
22	,								
23	remachó	nsp							
24	.								
									
1	Más								
2	tarde	nsp							
3	,								
4	durante								
5	la								
6	Segunda	nsp							
7	Guerra	nsp							
8	Mundial	nsp							
9	,								
10	tanto								
11	aliados								
12	como								
13	alemanes								
14	realizaron								
15	numerosos								
16	experimentos								
17	en								
18	ese								
19	terreno	nsp							
20	,								
21	la								
22	mayoría								
23	de								
24	ellos								
25	fuera								
26	de								
27	los								
28	frentes								
29	de								
30	batalla	nsp							
31	.								
									
1	Mina								
2	dejó								
3	los								
4	escenarios								
5	a								
6	los								
7	38								
8	años	nsp							
9	,								
10	pero								
11	mantiene								
12	su								
13	carisma	nsp							
14	.								
									
1	Este								
2	barcelonés								
3	y								
4	dos								
5	amigos								
6	suyos	nsp							
7	,								
8	que								
9	habían								
10	llegado								
11	el								
12	pasado								
13	viernes								
14	a								
15	Ciutadella	nsp							
16	,								
17	no								
18	pudieron			1	VPC				
19	regresar			1					
20	el								
21	martes								
22	a	nsp	A						
23	causa	nsp	A						
24	de		A						
25	la								
26	avería								
27	y								
28	la								
29	anulación								
30	del								
31	servicio	nsp							
32	.								
									
1	El								
2	Militar	nsp							
3	de	nsp							
4	Beirut	nsp							
5	,								
6	que								
7	celebra								
8	sesiones								
9	maratonianas								
10	tres								
11	veces								
12	por								
13	semana								
14	para								
15	juzgar			1	VPC				
16	a			1		SEL			
17	más								
18	de								
19	2200								
20	libaneses								
21	sospechosos								
22	de	nsp							
23	"								
24	colaboración	nsp							
25	"								
26	con								
27	Israel	nsp							
28	,								
29	condenó			2	VPC				
30	ayer								
31	a			2		SEL			
32	42								
33	personas	nsp							
34	.								
									
1	Según								
2	una								
3	encuesta	nsp							
4	,								
5	el								
6	0,48								
7	de								
8	los								
9	ciudadanos								
10	los								
11	considera	nsp							
12	"								
13	personalmente								
14	más								
15	sospechosos	nsp							
16	"	nsp							
17	.								
									
1	El								
2	suceso								
3	se								
4	registró								
5	cuando								
6	el								
7	hombre								
8	sufrió								
9	un								
10	infarto								
11	a								
12	pocos								
13	metros								
14	del								
15	centro								
16	hospitalario	nsp							
17	.								
									
1	Por								
2	eso	nsp							
3	,								
4	al								
5	excesivo								
6	entusiasmo								
7	que								
8	produjo								
9	lo								
10	que								
11	se								
12	llamó								
13	-								
14	español								
15	atlántico								
16	-	nsp							
17	,								
18	Germán	nsp							
19	de	nsp							
20	Granda								
21	pone			1	ID				
22	no								
23	pocos								
24	puntos			1					
25	sobre			1					
26	las			1					
27	es			1					
28	para								
29	atemperar								
30	juicios								
31	y								
32	moderar								
33	afirmaciones	nsp							
34	,								
35	pero								
36	no								
37	caigamos			2	VPC				
38	en			2					
39	negaciones								
40	excesivas	nsp							
41	.								
									
1	El								
2	grupo								
3	estatal								
4	Electricité	nsp							
5	de	nsp							
6	France	nsp							
7	(								
8	EDF	nsp							
9	)								
10	anunció								
11	hoy	nsp							
12	,								
13	jueves	nsp							
14	,								
15	la								
16	compra								
17	del								
18	51	nsp							
19	por	nsp							
20	ciento								
21	de								
22	la								
23	empresa								
24	mexicana								
25	Águila	nsp							
26	de	nsp							
27	Altamira	nsp							
28	(								
29	EAA	nsp							
30	)	nsp							
31	,								
32	creada			1	VPC				
33	por			1		SEL			
34	el								
35	japonés								
36	Mitsubishi	nsp							
37	Corporation								
38	para								
39	poner	nsp		2	ID				
40	en	nsp		2					
41	marcha			2					
42	una								
43	central								
44	de								
45	gas								
46	de								
47	495								
48	megavatios	nsp							
49	.								
									
1	El								
2	Lleida								
3	ha								
4	fichado			1	VPC				
5	a			1					
6	14								
7	jugadores								
8	y								
9	el								
10	conjunto								
11	vasco								
12	a								
13	11	nsp							
14	.								
									
1	Sin	nsp	A						
2	embargo	nsp	A						
3	,								
4	el								
5	Consejo	nsp							
6	de	nsp							
7	Seguridad								
8	no								
9	recogió								
10	en								
11	su								
12	declaración								
13	una								
14	solicitud								
15	de								
16	Annan								
17	en								
18	el								
19	sentido								
20	de								
21	dotar			1	VPC				
22	de			1		SEL			
23	una	nsp							
24	"								
25	gran								
26	capacidad								
27	disuasoria	nsp							
28	"								
29	a								
30	los	nsp							
31	"								
32	cascos								
33	azules	nsp							
34	"	nsp							
35	.								
									
1	Por								
2	la								
3	Cancillería								
4	se								
5	sabe								
6	que								
7	la								
8	gira								
9	presidencial								
10	prevista								
11	entre								
12	el								
13	16								
14	y								
15	el								
16	25	nsp							
17	de	nsp							
18	junio								
19	por								
20	varios								
21	países								
22	de								
23	la								
24	Exportadores	nsp							
25	de	nsp							
26	Petróleo	nsp							
27	(								
28	OPEP	nsp							
29	)	nsp							
30	,								
31	con								
32	el								
33	fin								
34	de								
35	afinar								
36	detalles								
37	de	nsp	A						
38	cara	nsp	A						
39	a		A						
40	la								
41	II	nsp							
42	Cumbre								
43	de								
44	ese								
45	cartel								
46	petrolero								
47	en								
48	Caracas	nsp							
49	,								
50	está								
51	en								
52	el								
53	alero								
54	hasta								
55	que								
56	se								
57	fijen								
58	los								
59	comicios	nsp							
60	.								
									
1	Por	nsp	A						
2	ejemplo	nsp	A						
3	,								
4	a								
5	Mario	nsp							
6	Conde								
7	una								
8	carta								
9	de								
10	respaldo								
11	de								
12	J.	nsp							
13	P.	nsp							
14	Morgan	nsp							
15	,								
16	o								
17	al								
18	ministro								
19	Asunción								
20	un								
21	bonito								
22	Garzón	nsp							
23	;								
24	son								
25	los								
26	-								
27	detalles								
28	chistosos								
29	-	nsp							
30	.								
									
1	Además	nsp							
2	,								
3	aparecieron								
4	pintadas								
5	en								
6	Irún	nsp							
7	(								
8	Guipúzcoa	nsp							
9	)								
10	con								
11	amenazas								
12	al								
13	edil								
14	del								
15	PP								
16	Borja	nsp							
17	Semper	nsp							
18	.								
									
1	El								
2	presidente								
3	indonesio	nsp							
4	,								
5	de								
6	60								
7	años	nsp							
8	,								
9	salud								
10	delicada								
11	y								
12	casi								
13	ciego	nsp							
14	,								
15	ha			1	VPC				
16	sido			1					
17	criticado			1					
18	desde								
19	el								
20	seno								
21	de								
22	su								
23	coalición								
24	de								
25	Gobierno	nsp							
26	,								
27	y								
28	también								
29	desde								
30	fuera	nsp							
31	,								
32	por			1					
33	su								
34	fracaso								
35	en								
36	establecer								
37	una								
38	línea								
39	política								
40	entre								
41	los								
42	ministros								
43	del								
44	Gabinete	nsp							
45	.								
									
1	Los								
2	mayas								
3	creen								
4	que								
5	el								
6	agua								
7	y								
8	el								
9	fuego								
10	son								
11	dioses								
12	y								
13	el								
14	rayo								
15	su								
16	más								
17	elocuente								
18	y								
19	eficaz								
20	agente								
21	de								
22	relaciones								
23	públicas	nsp							
24	.								
		nsp							
1	"								
2	No								
3	sabes								
4	cómo								
5	afrontar								
6	nuestro								
7	problema								
8	con								
9	los								
10	árbitros	nsp							
11	,								
12	si								
13	olvidarte			1	VPC				
14	olímpicamente								
15	de			1					
16	ellos								
17	o								
18	no								
19	hacerlo	nsp							
20	.								
21	Nos								
22	vuelve			2	LVC				
23	a			2					
24	tocar			2					
25	un								
26	árbitro								
27	que								
28	con								
29	nosotros								
30	ha								
31	sido								
32	bastante								
33	nefasto	nsp							
34	"	nsp							
35	,								
36	señaló								
37	Ferreira	nsp							
38	,								
39	quien								
40	recordó								
41	la								
42	actuación								
43	del								
44	colegiado								
45	madrileño								
46	en								
47	dos								
48	partidos								
49	frente	nsp							
50	a								
51	la								
52	Real	nsp							
53	Sociedad								
54	y								
55	el								
56	de								
57	esta								
58	temporada								
59	contra								
60	el								
61	Racing	nsp							
62	.								
									
1	No								
2	llegó								
3	en								
4	ningún								
5	caso	nsp							
6	.								
									
1	ERC	nsp							
2	,								
3	además	nsp							
4	,								
5	incorporará								
6	a								
7	mujeres								
8	en								
9	la								
10	dirección								
11	y								
12	creará								
13	la								
14	figura								
15	del								
16	portavoz								
17	del								
18	partido	nsp							
19	.								
									
1	Pero								
2	la								
3	intención								
4	de								
5	los								
6	nuevos								
7	programadores								
8	de								
9	La	nsp							
10	Carpa								
11	es								
12	abrir								
13	el								
14	escenario								
15	en								
16	horario								
17	nocturno								
18	para								
19	acoger								
20	todo								
21	tipo								
22	de								
23	propuestas	nsp							
24	.								
									
1	Pero								
2	como								
3	he								
4	visto								
5	a								
6	estudiantes	nsp							
7	,								
8	chicos								
9	y								
10	chicas	nsp							
11	,								
12	destrozar								
13	papeleras								
14	y								
15	hacer								
16	fuego	nsp							
17	,								
18	creo								
19	que								
20	tiene			1	VPC				
21	que			1					
22	haber			1					
23	algo								
24	más	nsp							
25	.								
		nsp							
1	"								
2	Es								
3	un								
4	ladrón								
5	que								
6	me								
7	ha								
8	robado								
9	todo	nsp							
10	"	nsp							
11	,								
12	cantaría								
13	el	nsp							
14	"								
15	inefablemente								
16	plañidero								
17	Perales	nsp							
18	"	nsp							
19	(								
20	frase								
21	que								
22	quizá								
23	le								
24	he								
25	plagiado								
26	inconscientemente								
27	a								
28	Carlos	nsp							
29	Boyero	nsp							
30	)	nsp							
31	.								
							
1	"								
2	Somos								
3	un	nsp							
4	poco								
5	víctimas								
6	de								
7	nuestra								
8	propia								
9	criatura	nsp							
10	.								
11	Estamos								
12	en								
13	una								
14	situación								
15	en								
16	la								
17	que								
18	no								
19	existe								
20	coherencia								
21	entre								
22	la								
23	política								
24	monetaria								
25	y								
26	las								
27	economías								
28	de								
29	los								
30	distintos								
31	países	nsp							
32	"	nsp							
33	,								
34	dijo								
35	Estrella	nsp							
36	,								
37	quien								
38	abogó			1	VPC				
39	por			1					
40	fijar	nsp							
41	"								
42	calendarios								
43	claros	nsp							
44	"								
45	en								
46	la								
47	ampliación	nsp							
48	.								
									
1	Pero								
2	el								
3	personaje								
4	que								
5	encarna	nsp							
6	,								
7	Maximus	nsp							
8	,	nsp							
9	"								
10	parece								
11	un								
12	bruto								
13	jugador								
14	de								
15	rugby	nsp							
16	"	nsp							
17	,								
18	confiesa	nsp							
19	.								
									
1	El								
2	punto								
3	de								
4	mayor								
5	conflicto								
6	es								
7	el								
8	aumento								
9	del								
10	salario								
11	mínimo	nsp							
