Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
8	controllato								
9	decine								
10	di								
11	persone	nsp							
12	,								
13	tra								
14	cui								
15	i								
16	cinque								
17	utilizzatori								
18-19	del								
18	di								
19	il								
20	box								
21	dove								
22	sarebbe								
23	avvenuta								
24	la								
25	violenza	nsp							
26	:								
									
1	box								
2	che								
3	è								
4	stato								
5	trovato								
6-7	nel								
6	in								
7	il								
8	pomeriggio	nsp							
9	.								
									
1	I								
2	cinque								
3	sarebbero								
4	tutti								
5	immigrati								
6	clandestini	nsp							
7	.								
									
1	Uno								
2	di								
3	loro								
4	sarebbe								
5	già								
6	stato								
7	riconosciuto								
8-9	dai								
8	da								
9	i								
10	due								
11	ragazzi	nsp							
12	.								
									
1	Ora								
2	si								
3	cerca								
4	il								
5	complice	nsp							
6	.								
									
1	Gabriella								
2	e								
3	Paolo	nsp							
4	,								
5	che								
6	si								
7	frequentano								
8	da								
9	circa								
10	quattro								
11	mesi	nsp							
12	,								
13	erano								
14	usciti								
15	di								
16	casa								
17	verso								
18	le								
19	23								
20	di								
21	sabato								
22	e								
23	si								
24	erano								
25	intrattenuti								
26	fino								
27-29	all'								
27	a								
28	l	nsp							
29	'	nsp							
30	alba								
31-31	nella								
31	in								
32	la								
33	discoteca	nsp							
34	.								
									
1	Dopo								
2	il								
3	sequestro	nsp							
4	,								
5	Paolo								
6	F.								
7	è								
8	corso								
9-10	alla								
9	a								
10	la								
11	caserma								
12-13	dei								
12	di								
13	i								
14	carabinieri								
15	più								
16	vicina								
17	e								
18	ha			1	LVC				
19	dato			1					
20	l	nsp		1					
21	'	nsp							
22	allarme	nsp		1					
23	.								
									
1	Le								
2	ricerche								
3	di								
4	Gabriella								
5	sono								
6	proseguite								
7	per								
8	tutta								
9	la								
10	mattinata	nsp							
11	,								
12	con								
13	elicotteri	nsp							
14	,								
15	posti								
16	di								
17	blocco								
18	e								
19	perquisizioni	nsp							
20	.								
									
1	La								
2	ragazza	nsp							
3	,								
4	figlia								
5-6	dei								
5	di								
6	i								
7	custodi								
8-9	del								
8	di								
9	il								
10	caseggiato								
11	dove								
12	abita								
13	con								
14	la								
15	famiglia	nsp							
16	,								
17	è								
18	tornata								
19	a								
20	casa								
21	verso								
22	le								
23	11	nsp							
24	,								
25	in								
26	stato								
27	di								
28	choc	nsp							
29	,								
30	dopo								
31	essere								
32	stata								
33	rilasciata								
34-35	dai								
34	da								
35	i								
36	violentatori	nsp							
37	.								
									
1	Allarme								
2	per								
3	la								
4	sicurezza								
5-6	del								
5	di								
6	il								
7	capo								
8-9	dello								
8	di								
9	lo								
10	Stato	nsp							
11	.								
									
1	Il								
2	carabiniere								
3	rischia								
4	da								
5	5								
6	a								
7	15								
8	anni								
9	di								
10	condanna	nsp							
11	.								
									
1	Telefonate								
2	di								
3	insulti								
4	poi								
5	l	nsp							
6	'	nsp							
7	annuncio								
8	di								
9	una								
10	bomba	nsp							
11	.								
									
1	Inchiesta								
2-3	della								
2	di								
3	la								
4	Procura								
5	militare	nsp							
6	.								
									
1	ROMA								
2	-								
3	Dopo								
4	l	nsp							
5	'	nsp							
6	episodio								
7-8	dell'								
7	di								
8	l	nsp							
9	'	nsp							
10	elicottero								
11-10	dei								
11	di								
12	i								
13	vigili								
14-13	del								
14	di								
15	il								
16	fuoco								
17	che								
18	ha								
19	sorvolato								
20	la								
21	residenza								
22	estiva								
23-22	del								
23	di								
24	il								
25	capo								
26-25	dello								
26	di								
27	lo								
28	Stato								
29	a								
30	Castelporziano	nsp							
31	,								
32	ecco								
33	il								
34	caso								
35-34	del								
35	di								
36	il								
37	corazziere	nsp							
38	.								
									
1	Da								
2	qualche								
3	giorno								
4	sembra								
5	non								
6-7	esserci			1	LVC/_				
6	esser								
7	ci								
8	tregua			1					
9	per								
10	l	nsp							
11	'	nsp							
12	apparato								
13	di								
14	sicurezza								
15-15	della								
15	di								
16	la								
17	presidenza								
18-18	della								
18	di								
19	la								
20	Repubblica	nsp							
21	:								
									
1-2	dal								
1	da								
2	il								
3	telefonino								
4	"	nsp							
5	cellulare	nsp							
6	"								
7	di								
8	uno								
9-10	dei								
9	di								
10	i								
11	corazzieri								
12	in								
13	servizio								
14-15	sul								
14	su								
15	il								
16	Colle								
17-18	del								
17	di								
18	il								
19	Quirinale								
20	sono								
21	state								
22	effettuate								
23	alcune								
24	telefonate								
25	con								
26	pesanti								
27	epiteti								
28-29	nei								
28	in								
29	i								
30	confronti								
31	di								
32	Oscar								
33	Luigi								
34	Scalfaro								
35	e								
36-37	della								
36	di								
37	la								
38	figlia								
39	Marianna	nsp							
40	.								
									
1	In								
2	una								
3-4	delle								
3	di								
4	le								
5	chiamate								
6	giunte								
7-8	al								
7	a								
8	il								
9	"	nsp							
10	113	nsp							
11	"								
12	sarebbe								
13	stato								
14	anche								
15	annunciato								
16	lo								
17	scoppio								
18	di								
19	una								
20	bomba	nsp							
21	.								
									
1	Il								
2	corazziere								
3	è								
4	stato								
5	individuato								
6	ma								
7	il								
8	suo								
9	nome								
10	è								
11	"	nsp							
12	top								
13	secret	nsp							
14	"	nsp							
15	.								
									
1-3	Sull'								
1	Su								
2	l	nsp							
3	'	nsp							
4	episodio								
5	il								
6	procuratore								
7	militare								
8-8	della								
8	di								
9	la								
10	capitale								
11	Antonino								
12	Intelisano								
13	ha								
14	aperto								
15	un	nsp							
16	'	nsp							
17	inchiesta	nsp							
18	:								
									
1	si								
2	procede								
3	per								
4	il								
5	reato								
6	di								
7	offesa								
8-10	all'								
8	a								
9	l	nsp							
10	'	nsp							
11	onore								
12-12	del								
12	di								
13	il								
14	presidente								
15-15	della								
15	di								
16	la								
17	Repubblica	nsp							
18	,								
19	che								
20	prevede								
21-21	dai								
21	da								
22	i								
23	cinque								
24-24	ai								
24	a								
25	i								
26	quindici								
27	anni								
28	di								
29	reclusione								
30	militare	nsp							
31	.								
									
1	L	nsp		1	LVC				
2	'	nsp		1					
3	allarme			1					
4	è			1					
5	scattato			1					
6	la								
7	scorsa								
8	settimana	nsp							
9	.								
									
1	Le								
2	ripetute								
3	telefonate								
4	hanno			1	VPC				
5	finito			1					
6	per			1					
7	mettere			2	LVC				
8	in			2					
9	moto			2					
10	i								
11	dispositivi								
12	di								
13	sicurezza								
14	e								
15	le								
16	ricerche								
17-19	dell'								
17	di								
18	l	nsp							
19	'	nsp							
20	utenza								
21-21	dalla								
21	da								
22	la								
23	quale								
24	venivano								
25	effettuate	nsp							
26	.								
									
1	Il								
2	telefonino								
3-4	del								
3	di								
4	il								
5	corazziere								
6	è								
7	stato								
8	immediatamente								
9	individuato	nsp							
10	.								
									
1	Una								
2	prima								
3	segnalazione								
4	è								
5	stata								
6	inviata								
7-8	alla								
7	a								
8	la								
9	Procura								
10-11	della								
10	di								
11	la								
12	Repubblica	nsp							
13	,								
14	poi								
15	il								
16	caso								
17	è			1	LVC				
18	passato			1					
19-20	nelle			1					
19	in								
20	le								
21	mani			1					
22-23	del								
22	di								
23	il								
24	giudici								
25	di								
26	viale								
27-28	delle								
27	di								
28	le								
29	Milizie	nsp							
30	.								
									
1	Il								
2	corazziere								
3	è								
4	stato								
5	denunciato	nsp							
6	:								
									
1	secondo								
2	indiscrezioni								
3	avrebbe								
4	sostenuto								
5	davanti								
6-7	agli								
6	a								
7	gli								
8	investigatori								
9	che								
10	non								
11	intendeva								
12	fare			1	LVC				
13	nulla			1					
14	di			1					
15	male			1					
16	e								
17	che								
18	per								
19	lui								
20	si								
21	è								
22	trattato								
23	di								
24	un								
25	"	nsp							
26	gioco	nsp							
27	"	nsp							
28	.								
									
1	Mare								
2	tragico								
3	per								
4	due								
5	sub	nsp							
6	.								
									
1	BOLZANO								
2	-								
3	Un								
4	fulmine								
5	ha								
6	ucciso								
7	ieri								
8	tre								
9	alpinisti								
10-11	sul								
10	su								
11	il								
12	Sassolungo	nsp							
13	,								
14	in								
15	Alto								
16	Adige	nsp							
17	.								
									
1	Erano								
2	slegati								
3	e								
4	la								
5	cosa								
6	è								
7	stata								
8	loro								
9	fatale	nsp							
10	.								
									
1	Quando								
2	sono								
3	stati								
4	investiti								
5-6	dalla								
5	da								
6	la								
7	violenza								
8-9	del								
8	di								
9	il								
10	fulmine	nsp							
11	,								
12	sono								
13	volati								
14-15	nel								
14	in								
15	il								
16	burrone	nsp							
17	,								
18	per								
19	centinaia								
20	e								
21	centinaia								
22	di								
23	metri	nsp							
24	,								
25-26	sfracellandosi								
25	sfracellando								
26	si								
27-28	sulle								
27	su								
28	le								
29	rocce	nsp							
30	.								
									
1	La								
2	prima								
3	domenica								
4	d	nsp							
5	'	nsp							
6	agosto								
7	ha								
8	fatto								
9	vittime								
10	anche								
11-11	al								
11	a								
12	il								
13	mare								
14	e								
15-15	sulle								
15	su								
16	le								
17	strade	nsp							
18	.								
									
1	Due								
2	sub								
3	sono								
4	morti	nsp							
5	,								
6	uno								
7	era								
8	un								
9	campione								
10-11	del								
10	di								
11	il								
12	rugby	nsp							
13	,								
14	e								
15	un								
16	altro								
17	ha								
18	avuto								
19	le								
20	gambe								
21	tagliate								
22	da								
23	un	nsp							
24	'	nsp							
25	elica	nsp							
26	.								
									
1-2	Sulle								
1	Su								
2	le								
3	strade								
4	sempre								
5	code								
6	e								
7	23								
8	vittime								
9	per								
10	incidenti	nsp							
11	.								
									
1	Assaliti								
2	da								
3	rapinatori								
4	a								
5	Virunga	nsp							
6	.								
									
1	Erano								
2	in								
3	gita								
4	e								
5	lavoravano								
6	come								
7	volontari								
8	per								
9	costruire								
10	una								
11	centrale	nsp							
12	.								
									
1	Massacro								
2	di								
3	italiani								
4-5	nello								
4	in								
5	lo								
6	Zaire	nsp							
7	.								
									
1	Due								
2	bambini								
3	e								
4	quattro								
5	tecnici								
6	lombardi								
7	uccisi								
8-9	dai								
8	da								
9	i								
10	banditi								
11	in								
12	un								
13	parco	nsp							
14	.								
									
1	KINSHASA								
2	-								
3	Sei								
4	italiani								
5	-								
6	quattro								
7	tecnici								
8	lombardi								
9	e								
10	due								
11	loro								
12	bambini								
13	-								
14	sono								
15	stati								
16	rapinati								
17	e								
18	poi								
19	uccisi								
20	da								
21	un								
22	gruppo								
23	di								
24	banditi								
25	durante								
26	una								
27	gita								
28-29	al								
28	a								
29	il								
30	parco								
31	naturale								
32	di								
33	Virunga	nsp							
34	,								
35	la								
36	zona								
37-38	dei								
37	di								
38	i								
39	gorilla	nsp							
40	,								
41	ricca								
42	di								
43	vulcani	nsp							
44	.								
									
1	I								
2	quattro								
3	lavoravano								
4-5	nello								
4	in								
5	lo								
6	Zaire								
7	per								
8	conto								
9	di								
10	"	nsp							
11	Mondo								
12	Giusto	nsp							
13	"	nsp							
14	,								
15	una								
16	organizzazione								
17	non								
18	governativa								
19-20	della								
19	di								
20	la								
21	cooperazione								
22	con								
23	sede								
24	a								
25	Lecco	nsp							
26	,								
27-28	alla								
27	a								
28	la								
29	costruzione								
30	di								
31	una								
32	cisterna								
33	e								
34	di								
35	una								
36	centrale								
37	elettrica								
38	a								
39	Goma	nsp							
40	,								
41-42	sul								
41	su								
42	il								
43	lago								
44	Kivu	nsp							
45	.								
									
1	I								
2	morti								
3	sono								
4	l	nsp							
5	'	nsp							
6	architetto								
7	Adelio								
8	Castiglioni	nsp							
9	,								
10	52								
11	anni	nsp							
12	,								
13	di								
14	Locate								
15	Varesino								
16	(	nsp							
17	Como	nsp							
18	)	nsp							
19	,								
20	i								
21	suoi								
22	figli								
23	Samuele	nsp							
24	,								
25	5								
26	anni	nsp							
27	,								
28	e								
29	Roberta	nsp							
30	,								
31	11	nsp							
32	,								
33	l	nsp							
34	'	nsp							
35	elettricista								
36	Luigi								
37	Cazzaniga	nsp							
38	,								
39	67								
40	anni	nsp							
41	,								
42	di								
43	Sovico								
44	(	nsp							
45	Milano	nsp							
46	)	nsp							
47	,								
48	il								
49	capocantiere								
50	Tarcisio								
51	Cattaneo	nsp							
52	,								
53	45	nsp							
54	,								
55	di								
56	Calolziocorte	nsp							
57	,								
58	il								
59	geometra								
60	Michelangelo								
61	Lamberti	nsp							
62	,								
63	30								
64	anni	nsp							
65	,								
66	di								
67	Lecco	nsp							
68	.								
									
1	Ferita								
2	e								
3	in								
4	stato								
5	di								
6	choc								
7	la								
8	moglie								
9	zairota								
10	di								
11	Castiglioni	nsp							
12	,								
13	Noella	nsp							
14	.								
									
1	Racconta	nsp							
2	:								
									
1	"	nsp							
2	Hanno			1	ID				
3	sparato			1					
4	a			1					
5	sangue			1					
6	freddo			1					
7	persino								
8-9	sui								
8	su								
9	i								
10	bambini	nsp							
11	"	nsp							
12	.								
									
1	La								
2	tragedia								
3	è								
4	avvenuta								
5	sabato								
6	mattina								
7	(	nsp							
8	ma								
9	la								
10	notizia								
11	è								
12	giunta								
13	in								
14	Italia								
15	solo								
16	ieri	nsp							
17	)								
18-19	sulla								
18	su								
19	la			1	SENT				
20	strada			1					
21	che			1					
22	porta			1					
23-24	al								
23	a								
24	il								
25	parco								
26	di								
27	Virunga								
28	-								
29	una								
30-31	delle								
30	di								
31	le								
32	più								
33	belle								
34	e								
35	antiche								
36	oasi								
37	naturali								
38-39	del								
38	di								
39	il								
40	mondo								
41	-								
42	creato								
43-44	nel								
43	in								
44	il								
45	1925	nsp							
46	.								
									
1	Ad								
2	attaccare								
3	le								
4	jeep								
5-6	degli								
5	di								
6	gli								
7	italiani								
8	sarebbe								
9	stata								
10	una								
11	banda								
12	di								
13	uomini								
14	in								
15	divisa								
16	militare								
17	e								
18	con								
19	il								
20	volto								
21	incappucciato	nsp							
22	.								
									
1	Lo								
2	Zaire								
3	è								
4	diventato								
5	da								
6	tempo								
7	uno								
8-9	dei								
8	di								
9	i								
10	Paesi								
11	più								
12	pericolosi								
13	di								
14	tutta								
15	l	nsp							
16	'	nsp							
17	Africa	nsp							
18	,								
19	infestato								
20	da								
21	rapinatori	nsp							
22	,								
23	profughi								
24-24	dal								
24	da								
25	il								
26	Ruanda	nsp							
27	,								
28	bande								
29	rivali	nsp							
30	.								
									
1	Non								
2	sembra								
3	che								
4	il								
5	gruppo								
6-7	degli								
6	di								
7	gli								
8	italiani								
9	abbia								
10	compiuto								
11	imprudenze	nsp							
12	:								
									
1	partiti								
2	da								
3	Goma								
4	dove								
5	si								
6	trova								
7	il								
8	campo								
9	base								
10	di								
11	"	nsp							
12	Mondo								
13	Giusto	nsp							
14	"	nsp							
15	,								
16	avevano								
17	percorso								
18	una								
19	strada								
20	molto								
21	battuta	nsp							
22	.								
									
1-2	Nel								
1	In								
2	il								
3	1985								
4-5	nella								
4	in								
5	la								
6	stessa								
7	zona								
8	è								
9	stata								
10	uccisa								
11	l	nsp							
12	'	nsp							
13	antropologa								
14	Diane								
15	Fossey	nsp							
16	,								
17	che								
18	si			1	VPC				
19	batteva			1					
20	per			1		SEL			
21	la								
22	salvezza								
23-23	del								
23	di								
24	il								
25	parco	nsp							
26	.								
									
1	Alberizzi	nsp							
2	,								
3	Battistini								
4	Zanini								
5	a								
6	pagina								
7	3								
8	Fasano								
9	in								
10	cronaca								
									
1	Duecentomila								
2	serbi								
3	in								
4	fuga	nsp							
5	.								
									
1	"	nsp							
2	La								
3	Krajina								
4	non								
5	esiste								
6	più	nsp							
7	"	nsp							
8	.								
									
1	ZAGABRIA								
2	-								
3	Gigantesco								
4	esodo								
5	serbo								
6-7	dalla								
6	da								
7	la								
8	Krajina								
9	conquistata								
10-11	dalle								
10	da								
11	le								
12	truppe								
13	croate	nsp							
14	.								
									
1-2	Al								
1	A								
2	il								
3	confine								
4	con								
5	la								
6	Bosnia								
7	settentrionale								
8	si								
9	è								
10	formata								
11	una								
12	colonna								
13	lunga								
14	10								
15	chilometri								
16	di								
17	profughi								
18	in								
19	marcia	nsp							
20	,								
21	in								
22	auto								
23	e								
24	a								
25	piedi	nsp							
26	.								
									
1	Ieri								
2	notte								
3	hanno								
4	dormito								
5-7	all'								
5	a								
6	l	nsp							
7	'	nsp							
8	aperto	nsp							
9	,								
10	senza								
11	acqua								
12	e								
13	senza								
14	cibo	nsp							
15	.								
									
1	Secondo								
2	l	nsp							
3	'	nsp							
4	Onu								
5	sono								
6	200								
7	mila								
8	le								
9	persone								
10	in								
11	fuga								
12	(	nsp							
13	foto								
14	Reuter	nsp							
15	)	nsp							
16	.								
									
1	Le								
2	autorità								
3	croate								
4	hanno								
5	intanto								
6	annunciato								
7	che								
8	il								
9	blitz								
10	è								
11	praticamente								
12	concluso	nsp							
13	:								
									
1	In								
2	vacanza	nsp							
3	.								
									
1	Muore								
2	folgorata								
3	sotto								
4	la								
5	doccia	nsp							
6	.								
									
1	CAMPOBELLO								
2	DI								
3	MAZARA								
4	(	nsp							
5	Trapani	nsp							
6	)								
7	-								
8	Una								
9	giovane								
10	turista	nsp							
11	,								
12	Tiziana								
13	Arnone								
14	di								
15	20								
16	anni	nsp							
17	,								
18	in								
19	vacanza								
20-21	nel								
20	in								
21	il								
22	villaggio								
23	"	nsp							
24	Kartibubbo	nsp							
25	"								
26	di								
27	Campobello								
28	di								
29	Mazara								
30-31	nel								
30	in								
31	il								
32	Trapanese	nsp							
33	,								
34	è								
35	morta								
36	sabato								
37	per								
38	una								
39	scarica								
40	elettrica								
41	mentre								
42	faceva			1	LVC				
43	una			1					
44	doccia			1					
45-46	nella								
45	in								
46	la								
47	camera								
48	che								
49	occupava								
50	con								
51	il								
52	marito	nsp							
53	.								
									
1	Subito								
2	soccorsa								
3-4	dal								
3	da								
4	il								
5	coniuge								
6	e								
7	da								
8	alcuni								
9	medici								
10	presenti								
11-12	nel								
11	in								
12	il								
13	villaggio	nsp							
14	,								
15	la								
16	donna								
17	è								
18	giunta								
19	cadavere								
20-22	all'								
20	a								
21	l	nsp							
22	'	nsp							
23	ospedale								
24	di								
25	Campobello								
26	di								
27	Mazara	nsp							
28	.								
									
1	La								
2	coppia	nsp							
3	,								
4	residente								
5	a								
6	Milano								
7	anche								
8	se								
9	di								
10	origini								
11	siciliane	nsp							
12	,								
13	stava								
14	trascorrendo								
15	un								
16	periodo								
17	di								
18	vacanza	nsp							
19	.								
									
1-2	Sulle								
1	Su								
2	le								
3	cause								
4-6	dell'								
4	di								
5	l	nsp							
6	'	nsp							
7	incidente								
8	la								
9	Procura								
10	di								
11	Marsala								
12	ha								
13	aperto								
14	un	nsp							
15	'	nsp							
16	inchiesta	nsp							
17	.								
									
1	Il								
2	reparto	nsp							
3	.								
									
1	ROMA								
2	-								
3	I								
4	corazzieri	nsp							
5	,								
6	formalmente								
7	chiamati								
8	Comando								
9	carabinieri								
10	guardie								
11-12	del								
11	di								
12	il								
13	presidente	nsp							
14	,								
15	sono								
16	stati								
17	creati								
18-19	nel								
18	in								
19	il								
20	1868	nsp							
21	.								
									
1	Da								
2	allora								
3	i								
4	circa								
5	duecento								
6	militari								
7	si								
8	occupano								
9-10	delle								
9	di								
10	le								
11	cerimonie								
12	ufficiali								
13	e								
14-15	della								
14	di								
15	la								
16	sicurezza								
17-18	del								
17	di								
18	il								
19	Quirinale	nsp							
20	.								
									
1	Per								
2	questo								
3	oltre								
4-5	alle								
4	a								
5	le								
6	tradizionali								
7	uniformi								
8	sono								
9	dotati								
10	di								
11	blindati								
12	e								
13	armi								
14	sofisticate	nsp							
15	.								
									
1-2	Nel								
1	In								
2	il								
3	1990								
4	Francesco								
5	Cossiga								
6	varò								
7	la								
8	riforma								
9-10	dei								
9	di								
10	i								
11	corazzieri								
12-13	trasformandoli								
12	trasformando								
13	li								
14	in								
15	Reggimento								
16	carabinieri								
17	guardie	nsp							
18	,								
19	con								
20	innovazioni								
21-22	nei								
21	in								
22	i								
23	regolamenti								
24	e								
25-27	nell'								
25	in								
26	l	nsp							
27	'	nsp							
28	organizzazione	nsp							
29	.								
									
1	La								
2	vicenda								
3	provocò								
4	parecchie								
5	polemiche								
6	e								
7	Oscar								
8	Luigi								
9	Scalfaro								
10	ha								
11	reintrodotto								
12	il								
13	vecchio								
14	ordinamento	nsp							
15	.								
									
1	Incendio	nsp							
2	.								
									
1	Danni								
2	a								
3	chalet								
4-5	degli								
4	di								
5	gli								
6	Agnelli	nsp							
7	.								
									
1	VENARIA								
2	(	nsp							
3	Torino	nsp							
4	)								
5	-								
6	Un								
7	incendio	nsp							
8	,								
9	che								
10	si								
11	sarebbe								
12	sviluppato								
13	per								
14	cause								
15	accidentali	nsp							
16	,								
17	ha								
18	gravemente								
19	danneggiato								
20	a								
21	Fiano								
22	(	nsp							
23	Torino	nsp							
24	)	nsp							
25	,								
26	uno								
27	chalet								
28	di								
29	proprietà								
30	di								
31	Umberto								
32	Agnelli	nsp							
33	,								
34	attiguo								
35-36	alla								
35	a								
36	la								
37	sua								
38	abitazione	nsp							
39	.								
									
1	Il								
2	vicepresidente								
3-5	dell'								
3	di								
4	l	nsp							
5	'	nsp							
6	Ifi								
7	non								
8	era								
9	in								
10	casa	nsp							
11	:								
									
1	sta								
2	trascorrendo								
3	le								
4	vacanze								
5	estive								
6	in								
7	alta								
8	Val								
9	di								
10	Susa	nsp							
11	.								
									
1	L	nsp							
2	'	nsp							
3	edificio								
4	bruciato								
5	è								
6	costruito								
7-8	all'								
7	a								
8	l	nsp							
9	'	nsp							
10	interno								
11-10	del								
11	di								
12	il								
13	parco								
