Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
23	routière								
24	pour								
25	l'	nsp							
26	année								
27	1999	nsp							
28	.								
									
1	Il								
2	a								
3	rappelé								
4	que								
5	plusieurs								
6	automobilistes								
7	ont								
8	quitté								
9	la								
10	chaussée								
11	à								
12	l'	nsp							
13	intersection								
14	de								
15	la								
16	RD192								
17	et								
18	du								
19	chemin								
20	rural								
21	de								
22	la								
23	Vaux								
24	des								
25	Fossés								
26	et								
27	qu'	nsp							
28	il			1	OTH				
29	convient			1					
30	de			1		SEL			
31	modifier								
32	le								
33	régime								
34	de								
35	priorité								
36	à								
37	cet								
38	endroit	nsp							
39	.								
									
1	La								
2	pose								
3	d'	nsp							
4	un								
5	panneau								
6	stop								
7	paraît								
8	être								
9	la								
10	formule								
11	la								
12	mieux								
13	adaptée								
14	pour								
15	assurer								
16	la								
17	sécurité								
18	des								
19	usagers	nsp							
20	.								
									
1	En								
2	délibérant	nsp							
3	,								
4	l'	nsp							
5	assemblée								
6	a								
7	accepté								
8	la								
9	proposition								
10	du								
11	maire								
12	et								
13	l'	nsp							
14	a								
15	chargé								
16	de								
17	faire								
18	établir								
19	par								
20	les								
21	services								
22	de								
23	la								
24	DDE								
25	un								
26	dossier								
27	de								
28	demande								
29	de								
30	subvention								
31	dans								
32	le								
33	cadre								
34	de								
35	la								
36	répartition								
37	des								
38	amendes								
39	de								
40	police								
41	1999	nsp							
42	.								
									
1	Espoir								
									
1	La								
2	remise								
3	du								
4	lavoir								
5	abrite								
6	depuis								
7	quelques								
8	jours								
9	une								
10	exposition								
11	qui								
12	a								
13	été								
14	inaugurée								
15	par								
16	Roger								
17	Thiriot	nsp							
18	,								
19	président								
20	de								
21	l'	nsp							
22	Association								
23	d'	nsp							
24	insertion								
25	des								
26	pays								
27	de								
28	la								
29	Saulx								
30	et								
31	du								
32	Perthois	nsp							
33	,								
34	en								
35	présence								
36	de								
37	nombreux								
38	élus								
39	du								
40	canton	nsp							
41	.								
									
1	L'	nsp							
2	association								
3	a								
4	changé								
5	les								
6	décors								
7	et								
8	avec								
9	l'	nsp							
10	aide								
11	de								
12	plusieurs								
13	bénévoles	nsp							
14	,								
15	établi								
16	différents								
17	tableaux								
18	sur								
19	le								
20	thème								
21	de								
22	#								
23	Cinq								
24	siècles								
25	d'	nsp							
26	activité								
27	économique								
28	de								
29	la								
30	région								
31	d'	nsp							
32	Ancerville								
33	#	nsp							
34	.								
									
1	Pourquoi								
2	ce								
3	thème	nsp							
4	?								
									
1	#								
2	Tout								
3	simplement								
4	#	nsp							
5	,								
6	a								
7	précisé								
8	Roger								
9	Thiriot	nsp							
10	,								
11	#								
12	parce								
13	que								
14	l'	nsp							
15	histoire								
16	du								
17	travail								
18	industriel								
19	est	nsp							
20	,								
21	ici	nsp							
22	,								
23	une								
24	longue								
25	et								
26	vieille								
27	histoire	nsp							
28	.								
									
1	La								
2	présence								
3	d'	nsp							
4	une								
5	abondante								
6	forêt	nsp							
7	,								
8	fournissant								
9	l'	nsp							
10	indispensable								
11	combustible	nsp							
12	,								
13	liée								
14	à								
15	l'	nsp							
16	existence								
17	du								
18	minerai								
19	de								
20	fer								
21	exploitable								
22	à								
23	ciel								
24	ouvert	nsp							
25	,								
26	a								
27	incité								
28	les								
29	hommes								
30	à								
31	créer								
32	#	nsp							
33	.								
									
1	C'	nsp							
2	est								
3	donc								
4	toute								
5	la								
6	vie								
7	industrielle								
8	du								
9	bassin								
10	de								
11	Saint-Dizier	nsp							
12	,								
13	sans								
14	oublier								
15	les								
16	papeteries								
17	de								
18	Jeand'Heurs	nsp							
19	,								
20	les								
21	carrières								
22	de								
23	Savonnières	nsp							
24	,								
25	que								
26	les								
27	visiteurs								
28	du								
29	lavoir								
30	pourront								
31	découvrir	nsp							
32	.								
									
1	Un								
2	voyage								
3	étonnant								
4	où								
5	photos	nsp							
6	,								
7	réalisations	nsp							
8	,								
9	vieux								
10	outils	nsp							
11	,								
12	documents								
13	anciens	nsp							
14	,								
15	permettront								
16	de								
17	mesurer								
18	combien								
19	ce								
20	petit								
21	bout								
22	de								
23	terre								
24	de								
25	France	nsp							
26	,								
27	situé								
28	aux								
29	Marches								
30	de								
31	l'	nsp							
32	Est	nsp							
33	,								
34	lieu								
35	de								
36	passage								
37	de								
38	prédilection								
39	des								
40	invasions	nsp							
41	,								
42	fut								
43	une								
44	terre								
45	de								
46	labeur	nsp							
47	,								
48	et								
49	combien								
50	le								
51	travail								
52	de								
53	ses								
54	habitants	nsp							
55	,								
56	durs								
57	à								
58	la								
59	tâche	nsp							
60	,								
61	doit								
62	être								
63	reconnu								
64	et								
65	mis			1	ID/LVC				
66	en			1					
67	valeur	nsp		1					
68	.								
									
1	Cette								
2	exposition	nsp							
3	,								
4	comme								
5	devait								
6	conclure								
7	Roger								
8	Thiriot	nsp							
9	,								
10	#								
11	n'	nsp							
12	a								
13	d'	nsp							
14	autre								
15	ambition								
16	que								
17	d'	nsp							
18	apporter								
19	un								
20	modeste								
21	témoignage								
22	sur								
23	le								
24	passé								
25	du								
26	tissu								
27	économique								
28	de								
29	la								
30	région	nsp							
31	.								
									
1	Elle								
2	se			1	OTH				
3	veut			1					
4	aussi								
5	message								
6	d'	nsp							
7	espoir								
8	en								
9	l'	nsp							
10	avenir								
11	#	nsp							
12	.								
									
1	Ouverture								
2	tous								
3	les								
4	jours								
5	sauf								
6	le								
7	lundi								
8	de								
9	14								
10	h								
11	30								
12	à								
13	18								
14	h	nsp							
15	.								
									
1	Une								
2	nouvelle								
3	école								
4	pour								
5	la								
6	commune								
									
1	Au								
2	cours								
3	de								
4	la								
5	cérémonie								
6	d'	nsp							
7	inauguration	nsp							
8	.								
									
1	La								
2	nouvelle								
3	école								
4	maternelle								
5	a								
6	été								
7	inaugurée								
8	en								
9	présence								
10	du								
11	sous-préfet	nsp							
12	,								
13	du								
14	président								
15	du								
16	conseil								
17	général	nsp							
18	,								
19	accompagné								
20	de								
21	MM.								
22	Farinet								
23	et								
24	Verneau	nsp							
25	,								
26	des								
27	maires								
28	et								
29	représentants								
30	de								
31	la								
32	communauté								
33	de								
34	communes	nsp							
35	,								
36	de								
37	l'	nsp							
38	inspecteur								
39	d'	nsp							
40	académie								
41	et								
42	de								
43	l'	nsp							
44	inspectrice								
45	de								
46	l'	nsp							
47	Education								
48	nationale								
49	de								
50	la								
51	circonscription	nsp							
52	.								
									
1	Après								
2	avoir								
3	coupé								
4	le								
5	ruban								
6	qui								
7	en								
8	marque								
9	symboliquement								
10	l'	nsp							
11	entrée	nsp							
12	,								
13	le								
14	maire								
15	et								
16	la								
17	directrice								
18	ont								
19	conduit								
20	la								
21	visite								
22	commentée								
23	des								
24	locaux	nsp							
25	.								
									
1	Dans								
2	son								
3	intervention	nsp							
4	,								
5	M.								
6	Soyer								
7	a								
8	fait								
9	l'	nsp							
10	historique								
11	de								
12	l'	nsp							
13	école								
14	maternelle	nsp							
15	,								
16	qui								
17	existe								
18	à								
19	Vignot								
20	depuis								
21	1972	nsp							
22	.								
									
1	Elle								
2	occupait								
3	depuis								
4	cette								
5	date	nsp							
6	,								
7	un								
8	bâtiment								
9	préfabriqué								
10	dans								
11	le								
12	parc								
13	Verneau	nsp							
14	.								
									
1	En								
2	1996	nsp							
3	,								
4	la								
5	municipalité								
6	étudie								
7	la								
8	possibilité								
9	d'	nsp							
10	une								
11	construction								
12	neuve	nsp							
13	.								
									
1	Une								
2	réflexion								
3	commune								
4	est								
5	menée								
6	avec								
7	les								
8	enseignants								
9	et								
10	les								
11	délégués								
12	de								
13	parents								
14	d'	nsp							
15	élèves	nsp							
16	,								
17	sous								
18	la								
19	conduite								
20	du								
21	CAUE	nsp							
22	.								
									
1	Après								
2	une								
3	année								
4	d'	nsp							
5	études	nsp							
6	,								
7	la								
8	conduite			1	LVC/_				
9	des								
10	travaux			1					
11	est								
12	menée								
13	par								
14	le								
15	cabinet								
16	Cadel								
17	et								
18	son								
19	associé	nsp							
20	,								
21	M.								
22	Bruand	nsp							
23	,								
24	sous								
25	le								
26	contrôle								
27	de								
28	l'	nsp							
29	Equipement	nsp							
30	,								
31	en								
32	neuf								
33	mois	nsp							
34	.								
									
1	Le								
2	coût								
3	des								
4	bâtiments								
5	s'	nsp		1	OTH				
6	élève			1					
7	à								
8	2.700.000								
9	F	nsp							
10	,								
11	dont								
12	40								
13	%								
14	de								
15	subvention								
16	de								
17	l'	nsp							
18	Etat	nsp							
19	;								
20	20								
21	%								
22	d'	nsp							
23	auto-	nsp							
24	financement								
25	et								
26	40								
27	%								
28	d'	nsp							
29	emprunt	nsp							
30	.								
									
1	Le								
2	mobilier								
3	est								
4	subventionné								
5	à								
6	50								
7	%								
8	par								
9	le								
10	conseil								
11	général	nsp							
12	.								
									
1	M.								
2	Soyer								
3	a								
4	adressé			1	LVC/_				
5	ses								
6	remerciements			1					
7	aux								
8	collectivités								
9	participantes	nsp							
10	,								
11	et								
12	en								
13	particulier								
14	à								
15	l'	nsp							
16	inspecteur								
17	d'	nsp							
18	académie	nsp							
19	,								
20	pour								
21	la								
22	création	nsp							
23	,								
24	en								
25	1998	nsp							
26	,								
27	d'	nsp							
28	une								
29	cinquième								
30	classe								
31	et								
32	la								
33	nomination								
34	de								
35	deux								
36	aides-éducateurs								
37	et								
38	la								
39	mise			2	ID				
40	à			2					
41	disposition			2					
42	à								
43	la								
44	rentrée								
45	1999								
46	d'	nsp							
47	un								
48	titulaire								
49	mobile	nsp							
50	.								
									
1	M.								
2	Dumez	nsp							
3	,								
4	président								
5	du								
6	conseil								
7	général	nsp							
8	,								
9	a								
10	parlé								
11	d'	nsp							
12	une								
13	#								
14	réalisation								
15	apte								
16	à								
17	l'	nsp							
18	épanouissement								
19	des								
20	petits								
21	#	nsp							
22	,								
23	non								
24	sans								
25	rappeler								
26	le								
27	rôle								
28	primordial								
29	de								
30	l'	nsp							
31	éducation								
32	familiale	nsp							
33	.								
									
1	L'	nsp							
2	inspecteur								
3	d'	nsp							
4	académie								
5	a								
6	remercié								
7	la								
8	municipalité								
9	d'	nsp							
10	avoir								
11	mené			1	ID				
12	à			1					
13	bien			1					
14	son								
15	projet								
16	en								
17	ayant								
18	associé								
19	les								
20	différentes								
21	parties								
22	intéressées								
23	:								
24	enseignants	nsp							
25	,								
26	parents	nsp							
27	,								
28	pour								
29	la								
30	conception								
31	des								
32	locaux								
33	et								
34	la								
35	qualité								
36	des								
37	matériaux								
38	utilisés	nsp							
39	.								
									
1	Quant								
2	au								
3	sous-préfet	nsp							
4	,								
5	il								
6	apprécie								
7	l'	nsp							
8	énergie								
9	dépensée								
10	pour								
11	une								
12	telle								
13	réalisation	nsp							
14	.								
									
1	Il								
2	pense								
3	que								
4	l'	nsp							
5	espace	nsp							
6	,								
7	les								
8	couleurs	nsp							
9	,								
10	le								
11	silence								
12	d'	nsp							
13	un								
14	tel								
15	lieu								
16	ne								
17	peuvent								
18	qu'	nsp							
19	être								
20	un								
21	élément								
22	d'	nsp							
23	harmonie								
24	dans								
25	la								
26	vie								
27	de								
28	la								
29	commune	nsp							
30	,								
31	et								
32	espère								
33	que								
34	d'	nsp							
35	autres								
36	projets								
37	seront								
38	réalisés								
39	dans								
40	cet								
41	esprit	nsp							
42	.								
									
1	Les								
2	enfants								
3	et								
4	les								
5	pêcheurs								
									
1	Ce								
2	sont								
3	finalement								
4	les								
5	élèves								
6	de								
7	la								
8	classe								
9	de								
10	CM2								
11	de								
12	Jacky								
13	Hedin								
14	qui								
15	sont								
16	venus								
17	mettre			1	ID				
18	la			1					
19	main			1					
20	au			1					
21	sac								
22	poubelle	nsp							
23	,								
24	dans								
25	la								
26	bonne								
27	humeur	nsp							
28	,								
29	comme								
30	s'	nsp							
31	ils								
32	étaient								
33	là								
34	pour								
35	participer								
36	à								
37	un								
38	jeu								
39	de								
40	plein-air	nsp							
41	,								
42	laissant			2	ID/_				
43	au								
44	passage								
45	le			2					
46	soin			2					
47	à			2		SEL/_			
48	leurs								
49	aînés								
50	d'	nsp							
51	en								
52	tirer								
53	une								
54	morale	nsp							
55	.								
									
1	Une								
2	seconde								
3	opération								
4	se			1	OTH				
5	déroulait			1					
6	en								
7	parallèle								
8	sur								
9	le								
10	territoire								
11	de								
12	la								
13	commune	nsp							
14	,								
15	avec								
16	un								
17	groupe								
18	d'	nsp							
19	une								
20	dizaine								
21	de								
22	chevaliers								
23	de								
24	la								
25	gaule								
26	#								
27	La								
28	Barisienne								
29	#	nsp							
30	,								
31	des								
32	pêcheurs								
33	à								
34	la								
35	ligne								
36	venus								
37	nettoyer								
38	les								
39	rives								
40	et								
41	curer								
42	le								
43	petit								
44	ruisseau								
45	qui								
46	serpente								
47	sous								
48	les								
49	#								
50	Sources								
51	#								
52	avant								
53	de								
54	se			2	OTH/_				
55	jeter			2					
56	dans								
57	l'	nsp							
58	Ornain	nsp							
59	.								
									
1	Une								
2	opération								
3	destinée								
4	aussi								
5	à								
6	faciliter								
7	la								
8	remontée								
9	et								
10	la								
11	fraye								
12	des								
13	truites								
14	vers								
15	la								
16	rivière	nsp							
17	.								
									
1	La								
2	journée								
3	de								
4	nettoyage								
5	de								
6	l'	nsp							
7	environnement								
8	placée			1	ID/_				
9	sous			1					
10	la			1					
11	bannière			1					
12	du			1		SEL			
13	#								
14	Printemps								
15	de								
16	l'	nsp							
17	environnement								
18	#								
19	n'	nsp							
20	a								
21	pas								
22	connu	nsp		2	LVC/_				
23	,								
24	à								
25	Fains-Véel	nsp							
26	,								
27	le								
28	succès			2					
29	que								
30	la								
31	municipalité								
32	était								
33	en								
34	droit								
35	d'	nsp							
36	attendre	nsp							
37	.								
									
1	Peut-être								
2	a								
3	-t-elle								
4	eu			1	ID				
5	le			1					
6	tort	nsp		1					
7	,								
8	la								
9	veille	nsp							
10	,								
11	de			1		SEL			
12	faire								
13	installer								
14	des								
15	poubelles								
16	fixes	nsp							
17	,								
18	synonymes	nsp							
19	,								
20	à								
21	priori	nsp							
22	,								
23	de								
24	propreté	nsp							
25	,								
26	ce								
27	qui								
28	a								
29	eu								
30	probablement								
31	pour								
32	effet								
33	d'	nsp							
34	inciter								
35	les								
36	gens								
37	à								
38	rester								
39	à								
40	domicile	nsp							
41	.								
									
1	Les								
2	enfants								
3	fêtent								
4	saint								
5	Honoré								
									
1	Les								
2	petits								
3	mitrons								
4	séduits								
5	par								
6	la								
7	bonne								
8	odeur								
9	du								
10	pain	nsp							
11	.								
									
1	Depuis								
2	quatre								
3	ans	nsp							
4	,								
5	les								
6	boulangers								
7	français								
8	fêtent								
9	avec								
10	leurs								
11	clients								
12	la								
13	Saint-Honoré	nsp							
14	.								
									
1	Ceux								
2	d'	nsp							
3	Ancerville								
4	ont								
5	participé								
6	à								
7	l'	nsp							
8	événement								
9	en								
10	faisant								
11	découvrir								
12	leur								
13	savoir-faire								
14	et								
15	leurs								
16	recettes	nsp							
17	.								
									
1	Les								
2	élèves								
3	de								
4	la								
5	classe								
6	de								
7	CE1								
8	de								
9	l'	nsp							
10	école								
11	Notre-Dame								
12	ont								
13	pris			1	ID				
14	part			1					
15	aux			1		SEL			
16	festivités	nsp							
17	.								
									
1	Ils								
2	ont								
3	été								
4	reçus								
5	à								
6	la								
7	boulangerie								
8	Leroy								
9	pour								
10	visiter								
11	le								
12	fournil								
13	et								
14	surtout								
15	pétrir								
16	la								
17	pâte								
18	afin								
19	de								
20	confectionner								
21	de								
22	délicieux								
23	pains								
24	au								
25	chocolat								
26	qu'	nsp							
27	ils								
28	ont								
29	dégustés								
30	à								
31	l'	nsp							
32	heure								
33	du								
34	goûter								
35	avec								
36	un								
37	verre								
38	de								
39	jus								
40	de								
41	fruit	nsp							
42	.								
									
1	Quel								
2	bonheur								
3	d'	nsp							
4	entendre								
5	la								
6	boulangère								
7	conter								
8	l'	nsp							
9	histoire								
10	de								
11	saint								
12	Honoré	nsp							
13	,								
14	ce								
15	jeune								
16	homme								
17	dissipé								
18	annonçant								
19	à								
20	sa								
21	vieille								
22	nourrice								
23	qu'	nsp							
24	il								
25	voulait								
26	se								
27	faire								
28	prêtre	nsp							
29	!								
									
1	Quel								
2	bonheur								
3	aussi								
4	d'	nsp							
5	entrer								
6	dans								
7	l'	nsp							
8	antre								
9	de								
10	la								
11	gourmandise								
12	et								
13	de								
14	découvrir								
15	les								
16	secrets								
17	du								
18	magicien								
19	du								
20	pain	nsp							
21	!								
									
1	Bref	nsp							
2	,								
3	en								
4	quittant								
5	le								
6	fournil	nsp							
7	,								
8	chacun								
9	ne								
10	rêvait								
11	que								
12	de								
13	remettre			1	ID/_				
14	la			1					
15	main			1					
16	à			1					
17	la			1					
18	pâte			1					
19	avec								
20	Sylvie								
21	et								
22	Daniel	nsp							
23	.								
									
1	L'	nsp							
2	agenda								
3	sportif								
									
1	Football								
									
1	Une								
2	seule								
3	rencontre								
4	est								
5	au								
6	programme								
7	des								
8	licenciés								
9	du								
10	FC								
11	aujourd'	nsp							
12	hui	nsp							
13	.								
									
1	L'	nsp							
2	équipe								
3	B	nsp							
4	,								
5	chez								
6	les								
7	seniors	nsp							
8	,								
9	évoluera								
10	à								
11	partir								
12	de								
13	15								
14	h	nsp							
15	,								
16	sur								
17	la								
18	pelouse								
19	du								
20	terrain								
21	d'	nsp							
22	honneur	nsp							
23	,								
24	face								
25	à								
26	la								
27	formation								
28	de								
29	Laneuville	nsp							
30	.								
									
1	Une								
2	journée								
3	du								
4	championnat								
5	de								
6	promotion								
7	de								
8	première								
9	division								
10	départementale	nsp							
11	.								
									
1	Cyclisme								
									
1	Les								
2	cyclistes								
3	et								
4	vététistes								
5	peuvent								
6	se								
7	réunir								
8	ce								
9	matin	nsp							
10	,								
11	à								
12	9								
13	h	nsp							
14	,								
15	place								
16	Jacques-Bailleurs	nsp							
17	,								
18	à								
19	l'	nsp							
20	occasion								
21	d'	nsp							
22	une								
23	sortie								
24	d'	nsp							
25	entraînement	nsp							
26	.								
									
1	Cet								
2	entraînement								
3	sera								
4	renouvelé								
5	demain	nsp							
6	,								
7	aux								
8	mêmes								
9	horaires	nsp							
10	.								
									
1	Billard								
									
1	Les								
2	membres								
3	du								
4	club								
5	auront								
6	l'	nsp							
7	occasion								
8	de								
9	s'	nsp							
10	entraîner								
11	cet								
12	après-midi	nsp							
13	,								
14	dès								
15	14								
16	h	nsp							
17	,								
18	salle								
19	Jean-Mathieu	nsp							
20	.								
									
1	Tir								
									
1	Les								
2	tireurs								
3	de								
4	la								
5	Vaux-Racine								
6	ont								
7	rendez-vous								
8	à								
9	partir								
10	de								
11	9								
12	h	nsp							
13	,								
14	sur								
15	les								
16	pas								
17	de								
18	tir	nsp							
19	,								
20	à								
21	l'	nsp							
22	occasion								
23	d'	nsp							
24	une								
25	séance								
26	d'	nsp							
27	entraînement	nsp							
28	.								
									
1	Aviron								
									
1	Une								
2	sortie								
3	nautique								
4	d'	nsp							
5	entraînement								
6	est								
7	organisée								
8	aujourd'	nsp							
9	hui	nsp							
10	,								
11	à								
12	partir								
13	de								
14	9								
15	h	nsp							
16	,								
17	pour								
18	les								
19	rameurs								
20	du								
21	club	nsp							
22	.								
									
1	Rendez-vous								
2	au								
3	local								
4	du								
5	club	nsp							
6	.								
									
1	Décès								
2	de								
3	Guy								
4	Hosneld								
									
1	M.								
2	Hosneld								
3	avait								
4	44								
5	ans	nsp							
6	.								
									
1	Nous								
2	apprenons								
3	avec								
4	beaucoup								
5	de								
6	tristesse	nsp							
7	,								
8	le								
9	décès								
10	de								
11	Guy								
12	Hosneld	nsp							
13	,								
14	suite								
15	à								
16	une								
17	longue								
18	et								
19	douloureuse								
20	maladie	nsp							
21	,								
22	à								
23	l'	nsp							
24	âge								
25	de								
26	44								
27	ans	nsp							
28	.								
									
1	Né								
2	à								
3	Abainville								
4	le								
5	11								
6	février								
7	1955	nsp							
8	,								
9	Guy								
10	était								
11	arrivé								
12	tout								
13	jeune								
14	avec								
15	sa								
16	famille								
17	à								
18	Void-Vacon	nsp							
19	.								
									
1	Il								
2	avait								
3	épousé								
4	Denise								
5	Pierrejean								
6	le								
7	26								
8	octobre								
9	1974								
10	et								
11	de								
12	leur								
13	union	nsp							
14	,								
15	sont								
16	nés								
17	une								
18	fille								
19	et								
20	deux								
21	garçons	nsp							
22	,								
23	âgés								
24	respectivement								
25	de								
26	24	nsp							
27	,								
28	23								
29	et								
30	14								
31	ans	nsp							
32	.								
									
1	Guy								
2	a								
3	consacré								
4	toute								
5	sa								
6	vie								
7	professionnelle								
8	à								
9	la								
10	laiterie								
11	Besnier								
12	à								
13	Sorcy-Saint-Martin	nsp							
14	,								
15	au								
16	poste								
17	de								
18	chef								
19	magasinier								
20	où								
21	il								
22	comptait								
23	de								
24	nombreux								
25	amis	nsp							
26	.								
									
1	Guy								
2	Hosneld								
3	était								
4	une								
5	personne								
6	très								
7	connue								
8	dans								
9	la								
10	commune								
11	et								
12	aux								
13	alentours	nsp							
14	,								
15	pour								
16	son								
17	grand								
18	dévouement								
19	aux								
20	autres								
21	et								
22	sa								
23	participation								
24	à								
25	la								
26	vie								
27	associative								
28	du								
29	village	nsp							
30	;								
									
1	il								
2	a								
3	assuré								
4	la								
5	présidence								
6	de								
7	la								
8	société								
9	de								
10	pêche								
11	#								
12	La								
13	Gaule								
14	vidusienne								
15	#								
16	durant								
17	une								
18	dizaine								
19	d'	nsp							
20	années	nsp							
21	.								
									
1	à								
2	l'	nsp							
3	âge								
4	de								
5	12								
6	ans	nsp							
7	,								
8	il								
9	était								
10	entré								
11	au								
12	LAS								
13	handball								
14	où								
15	il								
16	pratiqua								
17	durant								
18	près								
19	de								
20	vingt-cinq								
21	ans	nsp							
22	.								
									
1	Sapeur-pompier								
2	volontaire	nsp							
3	,								
4	il								
5	avait								
6	pris								
7	la								
8	responsabilité								
9	de								
10	la								
11	formation								
12	des								
13	premiers								
14	cadets								
15	sapeurs-pompiers								
16	de								
17	Meuse	nsp							
18	.								
									
1	Guy								
2	affectionnait								
3	beaucoup								
4	le								
5	jardinage	nsp							
6	,								
7	loisir								
8	partagé								
9	avec								
10	Denise	nsp							
11	,								
12	son								
13	épouse	nsp							
14	,								
15	qu'	nsp							
16	il								
17	a								
18	eu								
19	la								
20	douleur								
21	de								
22	perdre								
23	il								
24	y								
25	a								
26	quinze								
27	jours	nsp							
28	.								
									
1	Il								
2	laisse								
3	à								
4	sa								
5	famille								
6	et								
7	amis	nsp							
8	,								
9	le								
10	souvenir								
11	d'	nsp							
12	un								
13	homme								
14	dévoué	nsp							
15	,								
16	généreux	nsp							
17	,								
18	jovial	nsp							
19	,								
20	toujours								
21	prêt								
22	à								
23	rendre			1	ID/_				
24	service	nsp		1					
25	.								
									
1	Les								
2	obsèques								
3	seront								
4	célébrées								
5	demain	nsp							
6	,								
7	à								
8	15								
9	h	nsp							
10	,								
11	en								
12	l'	nsp							
13	église								
14	Notre-Dame								
15	de								
16	Void-Vacon	nsp							
17	.								
									
1	Nos								
2	condoléances								
3	à								
4	ses								
5	enfants	nsp							
6	.								
									
1	Le								
2	président								
3	Simon								
4	:								
5	rien								
6	ne								
7	lui								
8	échappe	nsp							
9	!								
									
1	Photos								
2	Jacques								
3	FISSIER								
									
1	La								
2	première								
3	exposition								
4	avicole								
5	de								
6	Belfort								
7	date								
8	de								
9	1922	nsp							
10	.								
									
1	Cela								
2	fait								
3	donc								
4	plus								
5	de								
6	trois-quarts								
7	de								
8	siècle								
9	que								
10	la								
11	digne								
12	société								
13	du								
14	même								
15	nom								
16	encourage	nsp							
17	,								
18	dans								
19	la								
20	région	nsp							
21	,								
22	les								
23	éleveurs								
24	amateurs	nsp							
25	.								
									
1	On								
2	peut								
3	donc								
4	estimer								
5	de								
6	façon								
7	astronomique								
8	le								
9	nombre								
10	de								
11	poules	nsp							
12	,								
13	de								
14	canards								
15	et								
16	de								
17	lapins	nsp							
18	,								
19	puis								
20	logiquement								
21	de								
22	casseroles	nsp							
23	,								
24	qui								
25	auront								
26	profité								
27	de								
28	cet								
29	engouement								
30	général	nsp							
31	!								
									
1	Pour								
2	être								
3	précis	nsp							
4	,								
5	c'	nsp							
6	est								
7	autour								
8	de								
9	1950								
10	que								
11	la								
12	société								
13	d'	nsp							
14	aviculture								
15	de								
16	Belfort								
17	a								
18	vraiment								
19	pris								
20	sa								
21	réelle								
22	importance	nsp							
23	,								
24	avec								
25	la								
26	présidence								
27	de								
28	Claude								
29	Simon	nsp							
30	.								
									
1	Voici								
2	un								
3	homme								
4	totalement								
5	dévoué								
6	à								
7	la								
8	cause								
9	de								
10	toutes								
11	ces								
12	petites								
13	bêtes	nsp							
14	,								
15	et								
16	qui								
17	a								
18	su								
19	rassembler								
20	des								
21	bénévoles								
22	aussi								
23	passionnés								
24	que								
25	lui	nsp							
26	,								
27	même								
28	quand								
29	certains								
30	d'	nsp							
31	entre								
32	eux								
33	n'	nsp							
34	ont								
35	même								
36	plus								
37	de								
38	poulailler	nsp							
39	.								
									
1	C'	nsp							
2	est								
3	le								
4	cas								
5	de								
6	ce								
7	brave								
8	Joseph								
9	Bari	nsp							
10	,								
11	toujours								
12	présent								
13	au								
