Rank	Token	No space  (nsp)	MTW  identifiers	First			Second				
1	Άνθρωποι										
2	που										
3	δεν										
4	άξιζαν										
5	να										
6	τους										
7	κάνω			1	LVC						
8	αυτήν										
9	την			1							
10	τιμή	nsp		1							
11	.										
											
1	Ένας										
2	οδηγός										
3	τέτοιου										
4	ποδήλατου	nsp									
5	-	nsp									
6	ταξί	nsp									
7	,										
8	ο										
9	Ρίτσαρντ										
10	Κοστέλα	nsp									
11	,										
12	λέει										
13	ότι										
14	οι										
15	περιορισμοί										
16	στην										
17	κυκλοφορία										
18	των										
19	ποδηλάτων										
20	ταξί										
21	είναι										
22	απλώς										
23	μία										
24	προσπάθεια										
25	να										
26	«	nsp									
27	χρυσώσουν	nsp		1	ID						
28	»										
29	το			1							
30	χάπι			1							
31	για					SEL					
32	τους										
33	αμαξάδες	nsp									
34	.										
											
1	Έπειτα										
2	από										
3	αυτό	nsp									
4	,										
5	η			1	LVC						
6	προσοχή			1							
7	όλων										
8	στρέφεται			1							
9	στον										
10	πρώτο										
11	έλεγχο										
12	του										
13	προγράμματος	nsp									
14	,										
15	ο										
16	οποίος										
17	είναι										
18	προγραμματισμένο										
19	να										
20	ξεκινήσει										
21	στις										
22	18										
23	Ιανουαρίου	nsp									
24	.										
											
1	Έπεσε			1	ID						
2	η			1							
3	αυλαία			1							
4	στο										
5	θέατρο			2	ID						
6	που										
7	έπαιζαν			2							
8	η										
9	μητέρα										
10	και										
11	ο										
12	πατριός										
13	του										
14	Κωστή										
15	Πολύζου										
16	με										
17	τη										
18	σύλληψή										
19	τους										
20	για										
21	τη										
22	δολοφονία										
23	του										
24	23χρονου										
25	πριν										
26	από										
27	πέντε										
28	χρόνια	nsp									
29	,										
30	στη										
31	Σιάτιστα										
32	Κοζάνης	nsp									
33	.										
											
1	Έτσι										
2	ενώ										
3	η										
4	Ελλάδα										
5	είχε										
6	λάβει			1	LVC						
7	άδεια			1							
8	για										
9	το										
10	2015										
11	να										
12	εκδώσει										
13	κέρματα										
14	αξίας										
15	13	nsp									
16	,	nsp									
17	3										
18	εκατ	nsp									
19	.										
20	ευρώ	nsp									
21	,										
22	η										
23	ΕΚΤ										
24	ενέκρινε										
25	μετά										
26	το										
27	σχετικό										
28	αίτημα										
29	του										
30	Υπουργείο										
31	Οικονομικών										
32	να										
33	αυξηθεί										
34	για										
35	εφέτος										
36	το										
37	όριο										
38	έκδοσης										
39	στα										
40	52	nsp									
41	,	nsp									
42	7										
43	εκατ	nsp									
44	.										
45	ευρώ	nsp									
46	.										
											
1	Έτσι										
2	σκέφτηκα										
3	τη										
4	Μαιρούλα	nsp									
5	,										
6	μια										
7	γειτόνισσα										
8	που										
9	την										
10	ήξερε										
11	ο										
12	Γιώργος										
13	και										
14	τη										
15	φλερτάριζε	nsp									
16	,										
17	η										
18	οποία										
19	πετούσε			1	ID						
20	τη			1							
21	σκούφια			1							
22	της			1							
23	για					SEL					
24	τα										
25	ταξίδια										
26	με										
27	αεροπλάνο	nsp									
28	.										
											
1	Έτσι										
2	τίθεται			1	ID/LVC						
3	υπό			1							
4	το			1							
5	μικροσκόπιο			1							
6	ο										
7	ρόλος										
8	της										
9	TIU	nsp									
10	,										
11	του										
12	Σώματος										
13	που										
14	συνέστησαν										
15	οι										
16	διοργανωτές										
17	των										
18	τεσσάρων										
19	τουρνουά										
20	του										
21	Γκραν										
22	Σλαμ	nsp									
23	,										
24	η										
25	Διεθνής										
26	Ομοσπονδία										
27	του										
28	Τένις										
29	και										
30	οι										
31	ομοσπονδίες										
32	των										
33	επαγγελματιών										
34	τενιστών	nsp									
35	,										
36	ώστε										
37	να										
38	καταπολεμηθεί										
39	η										
40	διαφθορά										
41	σε										
42	ένα										
43	άθλημα										
44	όπου										
45	φαίνεται										
46	σχετικά										
47	απλό										
48	να										
49	στήσει										
50	κανείς										
51	έναν										
52	αγώνα	nsp									
53	,										
54	καθώς										
55	είναι										
56	ατομικό										
57	και										
58	η										
59	απόδοση										
60	των										
61	αθλητών										
62	έχει										
63	συχνά										
64	σημαντικές										
65	διακυμάνσεις										
66	ανά										
67	εποχή										
68	και										
69	επιφάνεια										
70	γηπέδου	nsp									
71	.										
											
1	Έχουμε										
2	λάβει			1	LVC						
3	όλα										
4	τα										
5	απαραίτητα										
6	μέτρα	nsp		1							
7	»	nsp									
8	,										
9	δήλωσε										
10	ο										
11	υπουργός	nsp									
12	.										
											
1	Όμως										
2	εκείνη										
3	δεν										
4	ήταν										
5	τόσο										
6	φιλόδοξη										
7	κι										
8	εκεί										
9	που										
10	η										
11	επιτυχία										
12	τής										
13	χτυπούσε			1	ID						
14	την			1							
15	πόρτα			1							
16	το			2	ID						
17	έβαζε			2							
18	στα			2							
19	πόδια	nsp		2							
20	.										
											
1	Όμως										
2	καλύτερα										
3	να										
4	κρατάει			1	ID						
5	κάποιος										
6	μικρό			1							
7	καλάθι			1							
8	όταν										
9	έχει			2	OTH						
10	να			2							
11	κάνει			2							
12	με					SEL					
13	τράπεζες										
14	και										
15	χρηματοπιστωτικό										
16	τομέα	nsp									
17	.										
											
1	Όταν										
2	έφτασαν										
3	οι										
4	κομάντος										
5	του										
6	Τάγματος										
7	Ατλάκατλ	nsp									
8	,										
9	ο										
10	Εγιακουρία										
11	τους										
12	ζήτησε										
13	να										
14	μη										
15	χύσουν										
16	αθώο										
17	αίμα	nsp									
18	,										
19	εκείνος										
20	μόνο										
21	-	nsp									
22	τους										
23	είπε	nsp									
24	-										
25	είχε			1	LVC						
26	την										
27	ευθύνη			1							
28	για					SEL					
29	ό	nsp									
30	,	nsp									
31	τι										
32	κι										
33	αν										
34	τον										
35	κατηγορούσαν	nsp									
36	.										
											
1	Όταν										
2	του										
3	δόθηκε			1	LVC						
4	εντολή			1							
5	άνωθεν										
6	να										
7	ανοίξει			2	ID						
8	πυρ			2							
9	κατά					SEL					
10	των										
11	διαδηλωτών	nsp									
12	,										
13	ο										
14	Σπύρος										
15	δεν										
16	υπάκουσε	nsp									
17	»	nsp									
18	,										
19	περιγράφει										
20	στην										
21	«	nsp									
22	Κ	nsp									
23	»										
24	ο										
25	συνήγορός										
26	του	nsp									
27	,										
28	κ	nsp									
29	.										
30	Αλέξης										
31	Αναγνωστάκης	nsp									
32	.										
											
1	Ακόμα	nsp									
2	,										
3	ανέφερε										
4	ότι										
5	είναι			1	ID						
6	σε			1							
7	σχεδόν										
8	καθημερινή										
9	επαφή			1							
10	με					SEL					
11	τους										
12	αρμόδιους										
13	υπουργούς										
14	και										
15	κυβερνητικούς										
16	παράγοντες										
17	και										
18	αποτέλεσμα										
19	είπε										
20	των										
21	προσπαθειών										
22	αυτών										
23	ήταν										
24	«	nsp									
25	να										
26	φέρουμε			2	ID						
27	στο			2							
28	ίδιο			2							
29	τραπέζι			2							
30	την										
31	κυβέρνηση										
32	με										
33	τους										
34	δήμους	nsp									
35	,										
36	προκειμένου										
37	να										
38	συμπράξουν										
39	όλοι										
40	στο										
41	Εθνικό										
42	Σχέδιο										
43	για										
44	τη										
45	διαχείριση										
46	του										
47	προσφυγικού	nsp									
48	»	nsp									
49	.										
											
1	Αλλά										
2	να										
3	έχετε			1	ID						
4	κατά			1							
5	νου			1							
6	τη										
7	φοβερή										
8	αναταραχή										
9	στη										
10	γειτονιά										
11	μας	nsp									
12	.										
											
1	Αλλά										
2	στην										
3	παρούσα										
4	χρονική										
5	στιγμή	nsp									
6	,										
7	δε										
8	νιώθουμε										
9	άνετα										
10	να										
11	παραστούμε										
12	εκεί										
13	και										
14	να										
15	πούμε										
16	ότι										
17	δεν										
18	τρέχει										
19	τίποτα	nsp									
20	»										
21	δήλωσε										
22	ο										
23	Σμιθ										
24	στην										
25	εκπομπή										
26	Good										
27	Morning										
28	America										
29	του										
30	τηλεοπτικού										
31	δικτύου										
32	ABC	nsp									
33	.										
											
1	Αν										
2	οι										
3	μέτοχοι										
4	του										
5	Mega										
6	αποφασίσουν										
7	να										
8	βάλουν			1	ID						
9	βαθιά										
10	το			1							
11	χέρι			1							
12	στην			1							
13	τσέπη	nsp		1							
14	,										
15	τότε										
16	ο										
17	Λευτέρης										
18	Παπαπέτρου										
19	θα										
20	πάρει										
21	τη										
22	Ζέτα										
23	Μακρυπούλια										
24	από										
25	το										
26	χέρι										
27	και										
28	θα										
29	την										
30	πάει										
31	στο										
32	«	nsp									
33	Κάτω										
34	Παρτάλι	nsp									
35	»										
											
1	Αν										
2	όμως										
3	έχουν										
4	επιδεινωθεί										
5	τα										
6	οικονομικά										
7	δεδομένα										
8	ή										
9	αν										
10	η										
11	αναταραχή										
12	στις										
13	αγορές										
14	έχει										
15	λάβει			1	LVC						
16	τόσο										
17	μεγάλες										
18	διαστάσεις			1							
19	ώστε										
20	να										
21	απειλεί										
22	σοβαρά										
23	την										
24	οικονομική										
25	ανάπτυξη	nsp									
26	,										
27	τότε										
28	η										
29	ΕΚΤ										
30	θα										
31	αντιδράσει										
32	με										
33	νέα										
34	μέτρα										
35	στήριξης										
36	της										
37	οικονομίας	nsp									
38	,										
39	πιθανότατα										
40	μειώνοντας										
41	και										
42	άλλο										
43	το										
44	επιτόκιο										
45	καταθέσεων										
46	για										
47	τις										
48	τράπεζες	nsp									
49	.										
											
1	Αν										
2	όμως										
3	κάνει			1	ID						
4	τα			1							
5	στραβά			1							
6	μάτια	nsp		1							
7	,										
8	τότε										
9	θα										
10	μπορούσε										
11	να										
12	διαδοθεί										
13	η										
14	ανάρμοστη										
15	συμπεριφορά	nsp									
16	.										
											
1	Αναρωτηθήκαμε										
2	ποτέ										
3	πώς	nsp									
4	,										
5	και										
6	μέσω										
7	ποιας										
8	εξουσίας	nsp									
9	,										
10	ένα										
11	απόρρητο										
12	έγγραφο										
13	έγινε										
14	δημόσιο	nsp									
15	,										
16	πώς										
17	μια										
18	υπόθεση	nsp									
19	,										
20	πριν										
21	καν										
22	διαλευκανθεί										
23	και										
24	πριν										
25	αποφανθεί										
26	η										
27	δικαιοσύνη										
28	γι	nsp									
29	'										
30	αυτήν	nsp									
31	,										
32	πήρε			1	LVC						
33	μια										
34	άνευ										
35	προηγουμένου										
36	διάσταση			1							
37	από										
38	συγκεκριμένη										
39	φιλοκυβερνητική										
40	εφημερίδα	nsp									
41	,										
42	πώς										
43	ενορχηστρώθηκε										
44	η										
45	εκστρατεία										
46	εναντίον										
47	μου										
48	και										
49	πώς										
50	κορυφώθηκε										
51	με										
52	προσβλητικό										
53	(	nsp									
54	και										
55	για										
56	εσάς	nsp									
57	)										
58	τρόπο	nsp									
59	,										
60	ώστε										
61	να										
62	βιαστείτε										
63	να										
64	πάρετε			2	LVC						
65	αποφάσεις	nsp		2							
66	;										
											
1	Αναφερόμενος										
2	στην										
3	οικονομική										
4	κρίση										
5	που										
6	βιώνει										
7	η										
8	Ελλάδα	nsp									
9	,										
10	ο										
11	πρωθυπουργός										
12	είπε										
13	ότι										
14	η										
15	χώρα										
16	κάνει			1	LVC						
17	προσπάθειες			1							
18	να										
19	μεταρρυθμίσει										
20	την										
21	οικονομία										
22	της	nsp									
23	,										
24	επισημαίνοντας										
25	ότι										
26	«	nsp									
27	πρέπει										
28	όμως										
29	όλοι										
30	να										
31	καταλάβουμε										
32	ότι										
33	για										
34	να										
35	υπάρχει										
36	ισορροπία										
37	στον										
38	ισολογισμό	nsp									
39	,										
40	θα										
41	πρέπει										
42	να										
43	υπάρχει										
44	και										
45	ανάπτυξη	nsp									
46	»	nsp									
47	.										
											
1	Ανεξαρτήτως										
2	αυτής										
3	της										
4	επίσκεψης	nsp									
5	,										
6	πάντως	nsp									
7	,										
8	το										
9	κρίσιμο										
10	ερώτημα										
11	των										
12	ξένων										
13	αλλά										
14	και										
15	των										
16	Ελλήνων										
17	επενδυτών										
18	παραμένει	nsp									
19	:										
20	γιατί										
21	σε										
22	ένα										
23	μέλος										
24	της										
25	Ευρωζώνης	nsp									
26	,										
27	με										
28	τρία										
29	μνημόνια										
30	και										
31	συνεχείς										
32	προσπάθειες										
33	αναδιάρθρωσης	nsp									
34	,										
35	όλα										
36	παίρνουν			1	VPC						
37	δύσκολα										
38	«	nsp									
39	μπρος	nsp		1							
40	»	nsp									
41	.										
											
1	Αντίθετα										
2	με										
3	την										
4	αδελφή										
5	μου	nsp									
6	,										
7	που										
8	από										
9	τότε										
10	δεν										
11	τον										
12	ξαναείδε										
13	ποτέ										
14	γιατί										
15	το										
16	κράτησε			1	ID						
17	μανιάτικο	nsp		1							
18	.										
											
1	Αντίθετα	nsp									
2	,										
3	σύμφωνα										
4	με										
5	πληροφορίες	nsp									
6	,										
7	οι										
8	εισαγγελικές										
9	Αρχές										
10	δίνουν			1	LVC					lvc most probably	
11	σε					SEL					
12	αυτό										
13	ιδιαίτερη										
14	βαρύτητα	nsp		1							
15	.										
											
1	Απομακρυνθήκαμε										
2	ο										
3	ένας										
4	από										
5	τον										
6	άλλον	nsp									
7	»										
8	εξομολογείται										
9	για										
10	την										
11	αδιανόητη										
12	τραγωδία										
13	που										
14	σφράγισε										
15	τη										
16	ζωή										
17	της										
18	και										
19	διέλυσε										
20	την										
21	οικογένειά										
22	της	nsp									
23	.										
											
1	Από										
2	τη										
3	διάσκεψη										
4	της										
5	Βιέννης										
6	φάνηκε										
7	ότι										
8	η										
9	Ευρώπη										
10	δεν										
11	έχει										
12	συγκεκριμένη										
13	στρατηγική	nsp									
14	,										
15	η										
16	ίδια										
17	αποφασίζει	nsp									
18	,										
19	για										
20	παράδειγμα	nsp									
21	,										
22	την										
23	κατανομή										
24	προσφύγων	nsp									
25	,										
26	αλλά										
27	την										
28	αρνούνται										
29	κάποιοι	nsp									
30	,										
31	πρώην										
32	ανατολικές										
33	χώρες										
34	υψώνουν										
35	τείχη	nsp									
36	,										
37	καταγγέλλουν										
38	την										
39	Ελλάδα	nsp									
40	,										
41	κάποιοι										
42	της										
43	κουνούν			1	ID						
44	το			1							
45	δάχτυλο	nsp		1							
46	,										
47	κανείς										
48	δεν										
49	γνωρίζει										
50	ποια										
51	είναι										
52	τελικά										
53	η										
54	ευρωπαϊκή										
55	πολιτική										
56	και										
57	ποιους										
58	δεσμεύει	nsp									
59	.										
											
1	Από										
2	την										
3	άλλη										
4	δεν										
5	πρέπει										
6	να										
7	παραδώσουμε			1	ID						
8	και										
9	τα			1							
10	όπλα			1							
11	έτσι	nsp									
12	.										
											
1	Από										
2	την										
3	πλευρά										
4	του	nsp									
5	,										
6	ο										
7	Έλληνας										
8	ΥΠΟΙΚ										
9	Ευκλείδης										
10	Τσακαλώτος	nsp									
11	,										
12	απαντώντας										
13	σε										
14	σχετικό										
15	ερώτημα	nsp									
16	,										
17	είπε										
18	πως										
19	«	nsp									
20	η										
21	κυβέρνηση										
22	επιλέγει										
23	με										
24	νέες										
25	διαδικασίες	nsp									
26	»										
27	και										
28	προσέθεσε										
29	ότι										
30	δίνει			1	LVC						
31	έμφαση			1							
32	στη					SEL					
33	μεγαλύτερη										
34	ανεξαρτησία										
35	των										
36	θεσμών										
37	σε										
38	σχέση										
39	με										
40	τις										
41	πολιτικές										
42	πελατειακές										
43	σχέσεις										
44	του										
45	παρελθόντος										
46	και										
47	συγχρόνως										
48	στο										
49	να										
50	«	nsp									
51	έχουμε										
52	μία										
53	πολιτική	nsp									
54	»										
55	στις										
56	τράπεζες										
57	και										
58	τους										
59	άλλους										
60	φορείς										
61	που										
62	να										
63	εφαρμόζεται	nsp									
64	.										
											
1	Απόφαση			1	LVC						
2	για					SEL					
3	επανάληψη										
4	και										
5	αύριο										
6	του										
7	σημερινού										
8	αποκλεισμού	nsp									
9	,										
10	από										
11	τις										
12	12										
13	έως										
14	τις										
15	2	nsp									
16	.	nsp									
17	00	nsp									
18	,										
19	του										
20	τελωνείου										
21	Καστανέων										
22	Ορεστιάδας	nsp									
23	,										
24	έλαβαν			1							
25	οι										
26	αγρότες										
27	του										
28	βορείου										
29	Έβρου	nsp									
30	,										
31	οι										
32	οποίοι										
33	το										
34	πρωί										
35	επέδωσαν										
36	ψήφισμα										
37	για										
38	τους										
39	λόγους										
40	της										
41	κινητοποίησής										
42	τους										
43	στις										
44	τελωνειακές										
45	αρχές	nsp									
46	,										
47	ζητώντας										
48	την										
49	κατανόηση										
50	και										
51	συμπαράστασή										
52	τους	nsp									
53	.										
											
1	Αυτά										
2	θα										
3	κάνουν										
4	άλλους										
5	ανθρώπους										
6	να										
7	σκεφτούν										
8	και										
9	να										
10	ανοίξουν			1	ID						
11	τους			1							
12	ορίζοντές			1							
13	τους	nsp		1							
14	.										
											
1	Αυτή										
2	η										
3	ομάδα										
4	δίνει			1	ID						
5	την			1							
6	ψυχή			1							
7	της			1							
8	σε					SEL					
9	κάθε										
10	παιχνίδι	nsp									
11	,										
12	για										
13	να										
14	φέρει										
15	διακρίσεις										
16	στην										
17	Ελλάδα	nsp									
18	»										
19	είπε										
20	χαρακτηριστικά	nsp									
21	.										
											
1	Αυτό										
2	ήταν										
3	που										
4	με										
5	συγκίνησε										
6	στον										
7	Γιώργο										
8	κι										
9	άρχισα										
10	να										
11	κάνω			1	ID						
12	στενή										
13	παρέα			1							
14	παρέα										
15	μαζί					SEL					
16	του	nsp									
17	.										
											
1	Αυτό										
2	προκύπτει										
3	από										
4	την										
5	ανάλυση										
6	των										
7	στοιχείων										
8	που										
9	έδωσε			1	LVC						
10	χθες										
11	στη			1							
12	δημοσιότητα			1							
13	το										
14	υπουργείο										
15	Ανάπτυξης										
16	για										
17	τη										
18	διαμόρφωση										
19	των										
20	λιανικών										
21	τιμών										
22	καυσίμων										
23	στην										
24	εγχώρια										
25	αγορά	nsp									
26	,										
27	με										
28	αφορμή										
29	τη										
30	συζήτηση										
31	που										
32	άνοιξε										
33	τις										
34	τελευταίες										
35	ημέρες										
36	σχετικά										
37	με										
38	το										
39	κατά										
40	πόσο										
41	ακολουθούν										
42	ή										
43	όχι										
44	τις										
45	τιμές										
46	του										
47	πετρελαίου	nsp									
48	.										
											
1	Βάσει										
2	των										
3	νέων										
4	κανόνων	nsp									
5	,										
6	εάν										
7	μια										
8	τράπεζα										
9	βρεθεί			1	ID						
10	στο			1							
11	χείλος			1							
12	του			1							
13	γκρεμού	nsp		1							
14	,										
15	θα										
16	πρέπει										
17	πρώτα										
18	να										
19	κατανεμηθεί										
20	το										
21	8	nsp									
22	%										
23	των										
24	υποχρεώσεών										
25	της										
26	σε										
27	μετόχους	nsp									
28	,										
29	ομολογιούχους										
30	και										
31	καταθέσεις										
32	άνω										
33	των										
34	100	nsp									
35	.	nsp									
36	000										
37	ευρώ	nsp									
38	,										
39	και										
40	μετά										
41	μπορούν										
42	να										
43	χρησιμοποιηθούν										
44	πόροι										
45	του										
46	Δημοσίου										
47	για										
48	να										
49	συμπληρωθούν										
50	τα										
51	απαραίτητα										
52	κεφάλαια	nsp									
53	.										
											
1	Βέβαια										
2	το										
3	2016										
4	η										
5	ηρωίδα										
6	μου										
7	θα										
8	αρχίσει										
9	να										
10	αντιμιλάει										
11	και										
12	να										
13	σηκώνει			1	ID						
14	μπαϊράκι			1							
15	-	nsp									
16	όσο										
17	μπορεί										
18	βέβαια	nsp									
19	-										
20	μπροστά										
21	στην										
22	επιβλητική										
23	Αλεξάνδρα	nsp									
24	.										
											
1	Για										
2	την										
3	κ	nsp									
4	.										
5	Μιχαλοπούλου	nsp									
6	,										
7	«	nsp									
8	οι			1	LVC						
9	αποφάσεις			1							
10	είναι			1							
11	ειλημμένες	nsp		1							
12	.										
											
1	Για										
2	την										
3	υπεράσπιση										
4	του										
5	σχεδίου										
6	που										
7	έχει										
8	κατατεθεί	nsp									
9	,										
10	η										
11	κυβερνητική										
12	πλευρά										
13	θα										
14	επιμείνει										
15	ότι										
16	με										
17	τις										
18	προωθούμενες										
19	ρυθμίσεις										
20	λαμβάνεται			1	LVC						
21	μέριμνα			1							
22	για					SEL					
23	τους										
24	κατά										
25	κύριο										
26	επάγγελμα										
27	αγρότες										
28	και										
29	ότι										
30	τα										
31	κατώτερα										
32	και										
33	μεσαία										
34	αγροτικά										
35	στρώματα										
36	δεν										
37	θα										
38	πληγούν	nsp									
39	.										
											
1	Δήμαρχος										
2	Κω	nsp									
3	:										
4	Κανένας										
5	δεν										
6	δικαιούται										
7	να										
8	κουνά			1	ID						
9	το			1							
10	δάχτυλο			1							
11	στην					SEL					
12	Ελλάδα										
13	στο										
14	προσφυγικό										
											
1	Δε										
2	γίνεται										
3	να										
4	λέμε										
5	στους										
6	άλλους										
7	ό	nsp									
8	,	nsp									
9	τι										
10	περνάει			1	ID						
11	από			1							
12	το			1							
13	μυαλό			1							
14	μας	nsp									
15	.										
											
1	Δεδομένου										
2	ότι										
3	ο										
4	άντρας										
5	της										
6	έχει			1	ID						
7	αδυναμία			1							
8	στη					SEL					
9	μητέρα										
10	του	nsp									
11	,										
12	ξέρει										
13	πως										
14	αν										
15	εναντιωθεί	nsp									
16	,										
17	μπορεί										
18	και										
19	να										
20	της										
21	βγει			2	ID						
22	σε			2							
23	κακό	nsp		2							
24	.										
											
1	Δεν										
2	απέφερε			1	ID						
3	καρπούς	nsp		1							
4	,										
5	τελικά	nsp									
6	,										
7	το										
8	κάλεσμα										
9	του										
10	πρωθυπουργού										
11	για										
12	συνάντηση										
13	με										
14	τους										
15	αγρότες	nsp									
16	,										
17	που										
18	χθες										
19	μπορεί										
20	να										
21	διαφώνησαν										
22	και										
23	μεταξύ										
24	τους										
25	σε										
26	πολλά										
27	ζητήματα	nsp									
28	,										
29	συμφώνησαν										
30	όμως										
31	σε										
32	ένα	nsp									
33	:										
34	το										
35	κατηγορηματικό										
36	«	nsp									
37	όχι	nsp									
38	»										
39	προς										
40	τον										
41	Αλέξη										
42	Τσίπρα	nsp									
43	,										
44	έως										
45	ότου										
46	ανακαλέσει										
47	τα										
48	φορολογικά										
49	και										
50	ασφαλιστικά										
51	μέτρα										
52	που										
53	τους										
54	αφορούν	nsp									
55	,										
56	για										
57	να										
58	ξεκινήσει										
59	διάλογος										
60	από										
61	μηδενική										
62	βάση	nsp									
63	.										
											
1	Δεν										
2	μπορώ										
3	να										
4	βάλω			1	ID						
5	στο			1							
6	ίδιο			1							
7	τσουβάλι			1							
8	τον										
9	άντρα										
10	μου										
11	με										
12	αυτόν										
13	που										
14	δρα										
15	έτσι										
16	μπας										
17	και										
18	πέσει			2	ID						
19	στα			2							
20	δίχτυα			2							
21	των										
22	θαυμαστριών										
23	τoυ	nsp									
24	.										
											
1	Δράμα	nsp									
2	:										
3	Έβαλε										
4	λάστιχα										
5	στο										
6	Ι	nsp									
7	.	nsp									
8	Χ	nsp									
9	.										
10	του										
11	και										
12	έγινε	nsp		1	ID						
13	…										
14	καπνός	nsp		1							
15	!										
											
1	Δύο										
2	βελτιωτικές										
3	προτάσεις			1	LVC						
4	στο										
5	τραπέζι										
6	του										
7	διαλόγου										
8	με										
9	τους										
10	επιστημονικούς										
11	φορείς										
12	«	nsp									
13	έριξε	nsp		1							
14	»										
15	ο										
16	υπουργός										
17	Εργασίας	nsp									
18	,										
19	Γιώργος										
20	Κατρούγκαλος	nsp									
21	,										
22	στη										
23	συνάντηση										
24	που										
25	πραγματοποιήθηκε										
26	τη										
27	Δευτέρα	nsp									
28	,										
29	στο										
30	Μέγαρο										
31	Μαξίμου	nsp									
32	.										
											
1	Δύο										
2	μέρες										
3	αργότερα	nsp									
4	,										
5	κατά										
6	την										
7	έναρξη										
8	της										
9	έκθεσης										
10	Agrotica										
11	2016										
