Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
9	,								
10	enquanto								
11	a								
12	federação								
13	tem								
14	mais								
15	de								
16	70	nsp							
17	.								
									
1	O								
2	futebol								
3	precisa								
4	seguir								
5	o								
6	exemplo								
7	da								
8	CPI								
9	do								
10	orçamento								
11	e								
12	apresentar								
13	todos								
14	os								
15	podres	nsp							
16	.								
									
1	Se								
2	eu								
3	dirigisse								
4	uma								
5	federação	nsp							
6	,								
7	apresentaria								
8	balanços								
9	mensais								
10	e								
11	liberaria								
12	minhas								
13	contas								
14	bancárias	nsp							
15	.								
									
1	A								
2	Fifa								
3	e								
4	a								
5	CBF								
6	deveriam								
7	entrar			1	ID				
8	de			1					
9	sola			1					
10	nesse			1		SEL			
11	caso								
12	e								
13	em								
14	todas								
15	as								
16	outras								
17	federações	nsp							
18	.								
									
1	A								
2	maioria								
3	das								
4	empresas								
5	que								
6	produzem								
7	leite								
8	das								
9	marcas								
10	interditadas								
11	não								
12	tinha								
13	sido								
14	comunicada								
15	ontem								
16	sobre								
17	a								
18	liberação								
19	do								
20	produto	nsp							
21	.								
									
1	O								
2	presidente								
3	da								
4	Cooper	nsp							
5	,								
6	Benedito								
7	Vieira								
8	Pereira	nsp							
9	,								
10	49	nsp							
11	,								
12	afirmou								
13	que								
14	pretendia								
15	distribuir								
16	leite								
17	C								
18	nos								
19	postos								
20	de								
21	venda								
22	hoje	nsp							
23	.								
									
1	Prandi								
2	disse								
3	ainda								
4	que								
5	a								
6	empresa								
7	está								
8	elaborando								
9	«	nsp							
10	normas								
11	factíveis								
12	de								
13	serem								
14	executadas								
15	para								
16	a								
17	solução								
18	ou								
19	minimização								
20	dos								
21	problemas	nsp							
22	»								
23	existentes								
24	no								
25	local	nsp							
26	.								
									
1	«	nsp							
2	O								
3	Charade								
4	vai								
5	concorrer								
6	na								
7	faixa								
8	do								
9	Suzuki								
10	Swift								
11	e								
12	do								
13	Twingo	nsp							
14	,								
15	da								
16	Renault	nsp							
17	»	nsp							
18	,								
19	afirma								
20	Caparelli	nsp							
21	.								
									
1	Herbert								
2	Berger	nsp							
3	,								
4	diretor	nsp							
5	-	nsp							
6	superintendente								
7	da								
8	empresa	nsp							
9	,								
10	diz								
11	que								
12	o								
13	Charade								
14	«	nsp							
15	se								
16	aproxima								
17	do								
18	Honda								
19	Civic								
20	em								
21	tamanho								
22	e								
23	custa								
24	bem								
25	menos	nsp							
26	»	nsp							
27	.								
									
1	O								
2	Applause	nsp							
3	,								
4	um								
5	sedã								
6	quatro								
7	portas	nsp							
8	,								
9	com								
10	motor								
11	1	nsp							
12	.	nsp							
13	6	nsp							
14	,								
15	é								
16	o								
17	carro								
18	mais								
19	caro								
20	da								
21	Daihatsu	nsp							
22	.								
									
1	O								
2	top								
3	de								
4	linha								
5	custa								
6	US$								
7	30								
8	mil	nsp							
9	.								
									
1	A								
2	mudança								
3	do								
4	local								
5	de								
6	jogo								
7	que								
8	deve								
9	acontecer								
10	também								
11	na								
12	partida								
13	contra								
14	o								
15	Corinthians	nsp							
16	,								
17	no								
18	próximo								
19	dia								
20	17								
21	foi								
22	determinada								
23	pela								
24	CBF	nsp							
25	,								
26	que								
27	não								
28	viu								
29	garantias								
30	de								
31	segurança								
32	no								
33	estádio								
34	santista	nsp							
35	.								
									
1	«	nsp							
2	Na								
3	Vila	nsp							
4	,								
5	quando								
6	recebo								
7	a								
8	bola	nsp							
9	,								
10	tenho			1	OTH/_				
11	que			1					
12	ficar								
13	olhando								
14	sua								
15	trajetória	nsp							
16	,								
17	para								
18	não								
19	ser								
20	surpreendido	nsp							
21	.								
									
1	Só								
2	depois								
3	é								
4	que								
5	levanto								
6	a								
7	cabeça								
8	para								
9	fazer			1	LVC				
10	um								
11	lançamento	nsp		1					
12	»	nsp							
13	,								
14	reclama								
15	Neto	nsp							
16	.								
									
1	JFK								
2	-	nsp							
3	-								
4	A								
5	PERGUNTA								
6	QUE								
7	NÃO								
8	QUER								
9	CALAR								
10	Telecine	nsp							
11	,								
12	20h30	nsp							
13	.								
									
1	O								
2	destaque								
3	do								
4	HBO								
5	é								
6	o								
7	inédito								
8	«	nsp							
9	Exterminador								
10	do								
11	Futuro								
12	2								
13	-	nsp							
14	-								
15	O								
16	Julgamento								
17	Final	nsp							
18	»	nsp							
19	,								
20	em								
21	que								
22	Schwarzenegger								
23	é								
24	um								
25	robô								
26	com								
27	aparência								
28	humana								
29	que								
30	vem								
31	do								
32	futuro								
33	para								
34	proteger								
35	um								
36	garoto	nsp							
37	.								
									
1	Para								
2	o								
3	terceiro								
4	réu	nsp							
5	,								
6	Alexandre								
7	Cardoso	nsp							
8	,								
9	21	nsp							
10	,								
11	o								
12	«	nsp							
13	Topeira	nsp							
14	»	nsp							
15	,								
16	o								
17	juiz								
18	determinou								
19	uma								
20	pena								
21	de								
22	20								
23	anos	nsp							
24	.								
									
1	Souza								
2	também								
3	negou								
4	aos								
5	réus								
6	o								
7	direito								
8	de								
9	apelarem								
10	da								
11	setença								
12	em								
13	liberdade	nsp							
14	.								
									
1	Os								
2	três								
3	estão								
4	presos								
5	desde								
6	30								
7	de								
8	julho								
9	de								
10	93	nsp							
11	.								
									
1	Começou								
2	bem								
3	antes								
4	do								
5	que								
6	se								
7	previa								
8	a								
9	batalha								
10	pela								
11	futura								
12	sucessão								
13	na								
14	Fifa								
15	apenas								
16	seis								
17	meses								
18	depois								
19	do								
20	super	nsp							
21	-	nsp							
22	acordo								
23	que	nsp							
24	,								
25	nas								
26	vésperas								
27	da								
28	Copa	nsp							
29	,								
30	reconduziu								
31	o								
32	brasileiro								
33	João								
34	Havelange								
35	ao								
36	sexto								
37	mandato								
38	consecutivo	nsp							
39	.								
									
1	Pelo								
2	acordo	nsp							
3	,								
4	os								
5	três								
6	continentes								
7	mais								
8	obstinados								
9	em								
10	cortar								
11	o								
12	reinado								
13	de								
14	Havelange	nsp							
15	,								
16	a								
17	África	nsp							
18	,								
19	a								
20	Ásia								
21	e								
22	a								
23	Europa	nsp							
24	,								
25	aceitaram								
26	cancelar								
27	os								
28	seus								
29	movimentos								
30	de								
31	oposição								
32	em								
33	troca	nsp							
34	,								
35	basicamente	nsp							
36	,								
37	de								
38	dois								
39	compromissos	nsp							
40	.								
									
1	Havelange								
2	aceitaria								
3	engolir								
4	o								
5	italiano								
6	Antonio								
7	Matarrese								
8	como								
9	o								
10	seu								
11	vice	nsp							
12	-	nsp							
13	executivo								
14	e	nsp							
15	,								
16	além								
17	disso	nsp							
18	,								
19	esqueceria								
20	os								
21	seus								
22	modos								
23	autoritários	nsp							
24	,								
25	coordenando								
26	a								
27	entidade								
28	de								
29	maneira								
30	colegiada	nsp							
31	.								
									
1	O								
2	Ambulim								
3	foi								
4	um								
5	dos								
6	centros								
7	que								
8	contribuíram								
9	para								
10	um								
11	estudo								
12	apresentado								
13	na								
14	5ª								
15	Conferência								
16	Internacional								
17	sobre								
18	Transtornos								
19	Alimentares	nsp							
20	,								
21	de								
22	29								
23	de								
24	abril								
25	a								
26	1º								
27	de								
28	maio								
29	em								
30	Nova								
31	York	nsp							
32	.								
									
1	Dados								
2	sobre								
3	abuso								
4	sexual								
5	em								
6	bulímicas								
7	no								
8	Brasil	nsp							
9	,								
10	Áustria								
11	e								
12	Estados								
13	Unidos								
14	foram								
15	centralizados								
16	por								
17	Harrison								
18	Pope	nsp							
19	,								
20	da								
21	Escola								
22	de								
23	Medicina								
24	de								
25	Harvard	nsp							
26	.								
									
1	Essa								
2	divisão								
3	gera								
4	algumas								
5	distorções								
6	terríveis	nsp							
7	.								
									
1	Um								
2	dos								
3	injustiçados								
4	é								
5	Alfredo								
6	Volpi	nsp							
7	,								
8	que								
9	recebe								
10	apenas								
11	um								
12	painel	nsp							
13	,								
14	com								
15	cinco								
16	telas								
17	que								
18	servem								
19	para								
20	ilustrar								
21	sua								
22	«	nsp							
23	evolução	nsp							
24	»								
25	de								
26	figurativo								
27	a								
28	abstrato	nsp							
29	.								
									
1	Afora								
2	historicismo	nsp							
3	,								
4	isso								
5	é								
6	menosprezar								
7	um								
8	fator								
9	interno								
10	à								
11	arte								
12	brasileira	nsp							
13	,								
14	que								
15	independe								
16	de								
17	contexto								
18	internacional	nsp							
19	.								
									
1	Volpi								
2	foi								
3	dos								
4	mais								
5	influentes								
6	pintores								
7	do								
8	país								
9	para								
10	além								
11	da								
12	questão								
13	da								
14	autonomia	nsp							
15	.								
									
1	O								
2	panorama								
3	sofre			1	LVC/_				
4	prejuízos			1					
5	demais								
6	em								
7	favor								
8	da								
9	tese	nsp							
10	.								
									
1	Abstratos								
2	entre								
3	medianos								
4	e								
5	medíocres	nsp							
6	,								
7	como								
8	Fukushima	nsp							
9	,								
10	Pérsio	nsp							
11	,								
12	Raimo								
13	e								
14	Douchez	nsp							
15	,								
16	têm								
17	o								
18	mesmo								
19	ou								
20	maior								
21	destaque								
22	que								
23	Volpi								
24	e								
25	nada								
26	que								
27	se								
28	possa								
29	chamar								
30	de								
31	autonomia								
32	para								
33	oferecer								
34	como								
35	lenitivo	nsp							
36	.								
									
1	Talvez								
2	isto								
3	seja								
4	muito								
5	barulho								
6	por								
7	nada	nsp							
8	.								
									
1	Disse								
2	que								
3	não								
4	conseguia								
5	vislumbrar								
6	artifícios								
7	fraudulentos								
8	ou								
9	prática								
10	de								
11	peculato								
12	no								
13	protocolo								
14	assinado								
15	por								
16	Quércia	nsp							
17	.								
									
1	Afirmou								
2	que								
3	o								
4	conjunto								
5	de								
6	fatos	nsp							
7	,								
8	em								
9	princípio	nsp							
10	,								
11	aponta								
12	o								
13	envolvimento								
14	de								
15	Quércia	nsp							
16	.								
									
1	Recebeu								
2	a								
3	denúncia	nsp							
4	.								
									
1	Segundo								
2	o								
3	médico	nsp							
4	,								
5	o								
6	caso								
7	não								
8	preocupa	nsp							
9	.								
									
1	Romário								
2	não								
3	se			1	OTH/_				
4	exercitou			1					
5	nas								
6	cobranças								
7	de								
8	falta								
9	e								
10	pênalti	nsp							
11	.								
									
1	Toda								
2	a								
3	comissão								
4	técnica								
5	sabe								
6	que								
7	Romário								
8	é								
9	de								
10	treinar								
11	pouco	nsp							
12	,								
13	geralmente								
14	se								
15	poupando								
16	entre								
17	dois								
18	jogos								
19	difíceis	nsp							
20	.								
									
1	Nem								
2	o								
3	PSB								
4	nem								
5	a								
6	coligação								
7	têm								
8	competência								
9	legal								
10	para								
11	trocar								
12	o								
13	vice								
14	da								
15	chapa								
16	sem								
17	a								
18	concordância								
19	de								
20	Bisol	nsp							
21	,								
22	que								
23	teve								
24	o								
25	nome								
26	aprovado								
27	em								
28	convenção	nsp							
29	.								
									
1	Outra								
2	maneira								
3	de								
4	um								
5	partido								
6	forçar								
7	a								
8	substituição								
9	seria								
10	expulsar								
11	o								
12	candidato	nsp							
13	,								
14	com								
15	base								
16	em								
17	seu								
18	estatuto	nsp							
19	.								
									
1	Neste								
2	caso	nsp							
3	,								
4	o								
5	registro								
6	da								
7	candidatura								
8	seria								
9	cancelado								
10	pela								
11	Justiça	nsp							
12	.								
									
1	«	nsp							
2	Uma								
3	boa								
4	parte								
5	do								
6	público								
7	dos								
8	Stones								
9	hoje								
10	é								
11	yuppie	nsp							
12	.								
									
1	É								
2	uma								
3	tendência	nsp							
4	»	nsp							
5	,								
6	dizia								
7	o								
8	lojista								
9	Nivaldo								
10	Silva								
11	Costenaro	nsp							
12	,								
13	34	nsp							
14	,								
15	cabeludo								
16	baterista								
17	de								
18	uma								
19	banda								
20	de								
21	blues	nsp							
22	.								
									
1	«	nsp							
2	Escuto								
3	Stones								
4	desde								
5	os								
6	13								
7	anos								
8	de								
9	idade	nsp							
10	.								
									
1	O								
2	fã								
3	daquela								
4	época								
5	vai								
6	ser								
7	fã								
8	sempre	nsp							
9	»	nsp							
10	,								
11	acrescentou								
12	Costenaro	nsp							
13	.								
									
1	Apesar								
2	de								
3	limitar								
4	a								
5	venda								
6	de								
7	quatro								
8	ingressos								
9	por								
10	pessoa	nsp							
11	,								
12	a								
13	Mesbla								
14	não								
15	evitava								
16	ontem								
17	que								
18	uma								
19	mesma								
20	pessoa								
21	comprasse								
22	mais								
23	de								
24	uma								
25	vez	nsp							
26	.								
									
1	A								
2	queda								
3	nas								
4	vendas								
5	teve								
6	reflexos								
7	nas								
8	negociações								
9	entre								
10	as								
11	confecções								
12	e								
13	as								
14	lojas	nsp							
15	.								
									
1	«	nsp							
2	Não								
3	está								
4	havendo								
5	cancelamento								
6	de								
7	pedidos	nsp							
8	.								
									
1	Mas								
2	existem								
3	indústrias								
4	que								
5	estão								
6	sendo								
7	procuradas								
8	pelos								
9	lojistas								
10	para								
11	postergar								
12	as								
13	entregas	nsp							
14	»	nsp							
15	,								
16	conta								
17	Eduardo								
18	Costa	nsp							
19	,								
20	diretor								
21	da								
22	Abravest	nsp							
23	,								
24	que								
25	reúne								
26	a								
27	indústria								
28	de								
29	vestuário	nsp							
30	.								
									
1	A								
2	seca								
3	que								
4	atingiu								
5	as								
6	áreas								
7	produtoras								
8	de								
9	grãos								
10	não								
11	deve								
12	causar								
13	grandes								
14	estragos								
15	na								
16	safra								
17	1994	nsp							
18	/	nsp							
19	95	nsp							
20	.								
									
1	A								
2	primeira								
3	previsão								
4	do								
5	IBGE								
6	(	nsp							
7	Fundação								
8	Instituto								
9	Brasileiro								
10	de								
11	Geografia								
12	e								
13	Estatística	nsp							
14	)								
15	indica								
16	queda								
17	de								
18	0	nsp							
19	,	nsp							
20	62	nsp							
21	%								
22	na								
23	área								
24	plantada								
25	nesta								
26	safra								
27	em								
28	relação								
29	a								
30	anterior	nsp							
31	.								
									
1	Pocock	nsp							
2	,								
3	que								
4	publicou								
5	os								
6	resultados								
7	no								
8	último								
9	número								
10	da								
11	revista								
12	«	nsp							
13	British								
14	Medical								
15	Journal	nsp							
16	»	nsp							
17	,								
18	do								
19	Reino								
20	Unido	nsp							
21	,								
22	estudou								
23	a								
24	influência								
25	do								
26	chumbo								
27	desde								
28	a								
29	gestação	nsp							
30	.								
									
1	Segundo								
2	ele	nsp							
3	,								
4	a								
5	exposição								
6	ao								
7	material								
8	durante								
9	a								
10	gravidez								
11	ou								
12	nos								
13	dois								
14	primeiros								
15	anos								
16	de								
17	vida								
18	não								
19	representa								
20	perigo	nsp							
21	.								
									
1	OS								
2	PAPÉIS								
3	DE								
4	FLAVIO	nsp							
5	-	nsp							
6	SHIRÓ								
7	-	nsp							
8	-								
9	A								
10	mostra	nsp							
11	,								
12	que								
13	faz			1	LVC				
14	parte			1					
15	das			1		SEL			
16	comemorações								
17	dos								
18	50								
19	anos								
20	de								
21	pintura								
22	do								
23	artista								
24	japonês	nsp							
25	,								
26	reúne								
27	25								
28	obras								
29	em								
30	pequenos								
31	formatos	nsp							
32	.								
									
1	Foi								
2	utilizada								
3	técnica								
4	mista	nsp							
5	,								
6	incluindo								
7	desenho	nsp							
8	,								
9	pastel	nsp							
10	,								
11	ceragrafia								
12	e								
13	fotografismo	nsp							
14	.								
									
1	A								
2	aplicação								
3	dessas								
4	observações								
5	ao								
6	caso								
7	americano								
8	e								
9	às								
10	relações								
11	entre								
12	negros								
13	e								
14	brancos								
15	sugere								
16	uma								
17	nova								
18	maneira								
19	de								
20	conceituar								
21	os								
22	argumentos								
23	já								
24	conhecidos								
25	do								
26	«	nsp							
27	legado								
28	da								
29	escravidão	nsp							
30	»	nsp							
31	.								
									
1	Não								
2	se			1	OTH				
3	trata			1					
4	simplesmente								
5	da			1		SEL			
6	questão								
7	de								
8	a								
9	escravidão								
10	certamente								
11	ter								
12	tido								
13	efeitos								
14	duradouros								
15	sobre								
16	a								
17	cultura								
18	negra	nsp							
19	,								
20	nem								
21	mesmo								
22	dela								
23	ter								
24	exercido								
25	um								
26	amplo								
27	efeito								
28	negativo								
29	sobre								
30	a								
31	auto	nsp							
32	-	nsp							
33	confiança								
34	e								
35	auto	nsp							
36	-	nsp							
37	estima								
38	dos								
39	negros	nsp							
40	,								
41	mas								
42	mais								
43	especificamente								
44	de								
45	a								
46	experiência								
47	da								
48	escravatura								
49	ter								
50	desvirtuado								
51	e								
52	tolhido								
53	a								
54	evolução								
55	do								
56	algoritmo								
57	etnocêntrico								
58	que								
59	os								
60	negros								
61	americanos								
62	teriam								
63	desenvolvido								
64	no								
65	decorrer								
66	normal								
67	dos								
68	acontecimentos	nsp							
69	.								
									
1	Os								
2	brancos								
3	fizeram			1	ID				
4	tudo			1					
5	em			1					
6	seu								
7	poder			1					
8	para			1		SEL			
9	invalidar								
10	ou								
11	menosprezar								
12	cada								
13	sinal								
14	de								
15	talento	nsp							
16	,								
17	virtude								
18	ou								
19	superioridade								
20	entre								
21	os								
22	negros	nsp							
23	.								
									
1	Eles								
2	tiveram			1	OTH/_				
3	que			1					
4	fazer								
5	isso								
6	se								
7	os								
8	escravos								
9	fossem								
10	superiores								
11	em								
12	qualidades								
13	que								
14	os								
15	próprios								
16	brancos								
17	valorizavam	nsp							
18	,								
19	onde								
20	estaria								
21	a								
22	justificativa								
23	moral								
24	para								
25	mantê	nsp							
26	-	nsp							
27	los								
28	escravizados	nsp							
29	?								
									
1	E	nsp							
2	,								
3	assim	nsp							
4	,								
5	tudo								
6	o								
7	que								
8	os								
9	afro	nsp							
10	-	nsp							
11	americanos								
12	faziam								
13	bem								
14	teve								
15	de								
16	ser								
17	colocado			1	ID/_				
18	em			1					
19	termos			1					
20	que								
21	menosprezassem								
22	a								
23	qualidade								
24	em								
25	questão	nsp							
26	.								
									
1	Mesmo								
2	a								
3	simples								
4	tentativa								
5	de								
6	se								
7	documentar								
8	esse								
9	ponto								
10	deixa								
11	uma								
12	pessoa								
13	exposta								
14	a								
15	acusações								
16	de								
17	condescendência								
18	e	nsp							
19	,								
20	assim	nsp							
21	,								
22	os								
23	brancos								
24	de								
25	fato								
26	conseguiram								
27	cooptar								
28	os								
29	julgamentos								
30	de								
31	valor	nsp							
32	.								
									
1	É								
2	ainda								
3	mais								
4	óbvio								
5	que								
6	é								
7	impossível								
8	falar								
9	abertamente								
10	sobre								
11	o								
12	superioridade								
13	de								
14	muitos								
15	atletas								
16	negros								
17	sem								
18	ser								
19	sujeito								
20	a								
21	acusações								
22	de								
23	que								
24	se								
25	estar								
26	sendo								
27	anti	nsp							
28	-	nsp							
29	negro								
30	de								
31	uma								
32	maneira								
33	enviesada	nsp							
34	.								
									
1	Pela								
2	segunda								
3	vez								
4	desde								
5	quando								
6	começou								
7	a								
8	coordenar								
9	as								
10	ações								
11	no								
12	Rio	nsp							
13	,								
14	há								
15	duas								
16	semanas	nsp							
17	,								
18	o								
19	Exército								
20	mudou								
21	o								
22	nome								
23	das								
24	operações	nsp							
25	.								
									
1	Agora	nsp							
2	,								
3	os								
4	oficiais								
5	envolvidos								
6	se			1	OTH				
7	referem			1					
8	sempre								
9	ao			1		SEL			
10	comando								
11	das								
12	ações								
13	como								
14	Centro								
15	de								
16	Coordenação								
17	de								
18	Operações								
19	de								
20	Combate								
21	ao								
22	Crime								
23	Organizado								
24	(	nsp							
